node_id,is_ad,ego_original_size,ego_was_subsampled,H0_invalid_count,H0_count,H0_total_persistence,H0_max_persistence,H0_mean_persistence,H0_median_persistence,H0_std_persistence,H0_entropy,H0_infinite_count,H1_invalid_count,H1_count,H1_total_persistence,H1_max_persistence,H1_mean_persistence,H1_median_persistence,H1_std_persistence,H1_entropy,H1_infinite_count,H2_invalid_count,H2_count,H2_total_persistence,H2_max_persistence,H2_mean_persistence,H2_median_persistence,H2_std_persistence,H2_entropy,H2_infinite_count,degree,clustering_coefficient,ego_size_1hop,ego_edges_1hop,ego_density_1hop,ego_size_2hop,ego_edges_2hop,ego_density_2hop
2048,1,7097,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,50,50.0,1.0,1.0,1.0,0.0,3.9120230004281464,0,0,29,29.0,1.0,1.0,1.0,0.0,3.3672958270864726,0,206,0.02609519299076486,207,757,0.03550490127104732,7097,85514,0.003396086982145782
10241,1,10051,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,505,0.0168002514537168,506,2643,0.02068641646773373,10051,102868,0.0020367370193109667
2,1,8165,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,70,70.0,1.0,1.0,1.0,0.0,4.248495235049358,0,0,16,16.0,1.0,1.0,1.0,0.0,2.7725887206397815,0,189,0.024710120454801306,190,628,0.03497632971317182,8165,91783,0.002753804209060254
79882,1,6762,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,111,111.0,1.0,1.0,1.0,0.0,4.7095301902123365,0,0,251,251.0,1.0,1.0,1.0,0.0,5.525452914031783,0,189,0.023415512777214906,190,605,0.03369534948482317,6762,82876,0.003625539783317171
12,1,4666,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,70,70.0,1.0,1.0,1.0,0.0,4.248495235049358,0,0,14,14.0,1.0,1.0,1.0,0.0,2.639057328215258,0,117,0.01989389920424403,118,252,0.03650586701434159,4666,64816,0.005955467225680839
2066,1,6859,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,48,48.0,1.0,1.0,1.0,0.0,3.8712010061078903,0,0,40,40.0,1.0,1.0,1.0,0.0,3.6888794501139364,0,182,0.0265314795701536,183,619,0.03717047979343061,6859,86593,0.003681751716691729
19,1,5908,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,23,23.0,1.0,1.0,1.0,0.0,3.1354942136291495,0,0,17,17.0,1.0,1.0,1.0,0.0,2.833213342356216,0,37,0.06906906906906907,38,83,0.11806543385490754,5908,76752,0.004398577408188465
25,1,11238,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,11,11.0,1.0,1.0,1.0,0.0,2.3978952716983706,0,0,16,16.0,1.0,1.0,1.0,0.0,2.7725887206397815,0,232,0.05344081206150172,233,1664,0.06156578363178926,11238,105203,0.0016661677016804833
27,1,7217,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,25,25.0,1.0,1.0,1.0,0.0,3.2188758223682012,0,0,24,24.0,1.0,1.0,1.0,0.0,3.178053827947945,0,110,0.09190992493744787,111,661,0.10827190827190827,7217,88664,0.0034050546458580335
10273,1,14787,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,752,0.02182550925007791,753,6915,0.02442358226667797,14787,116051,0.0010615687073134484
