node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,project,timestamp
7072,104,42,12822,300,5799,True,59.68666666666667,2208,232.97747063229573,1,72,131,49,1,82,129,42,-10,2,7,1,72,131,49,1,82,129,42,-10,2,7,1,72,131,49,1,82,129,42,-10,2,7,1,72,131,49,1,82,129,42,-10,2,7,1,28,115,95,1,35,120,82,-7,-5,13,1,12,57,113,1,14,61,94,-2,-4,19,8.982146526069662e-17,0,-12.342857142857131,60,-11.942857142857127,74,13.085714285714287,64,1.3999999999999977,8,-1.4571428571428566,7,2.2285714285714278,12,3.5309247970581055,Alzheimer's Disease,2025-11-29T23:05:11.409767
8398,23,15,8974,300,4752,True,59.03666666666667,3080,242.13492517373217,1,91,91,61,1,87,91,61,4,0,0,1,91,91,61,1,87,91,61,4,0,0,1,91,91,61,1,87,91,61,4,0,0,1,91,91,61,1,87,91,61,4,0,0,1,43,54,26,1,39,54,26,4,0,0,1,36,59,60,1,32,59,60,4,0,0,8.982146526069662e-17,0,-11.971428571428566,55,-7.742857142857143,37,-3.1428571428571375,35,3.592858610427865e-16,0,0.0,0,0.0,0,2.6800599098205566,Alzheimer's Disease,2025-11-29T23:05:14.090251
598,189,137,13098,300,3641,True,75.16333333333333,6070,401.1959413082618,1,80,68,11,1,121,74,4,-41,-6,7,1,80,68,11,1,121,74,4,-41,-6,7,1,80,68,11,1,121,74,4,-41,-6,7,1,80,68,11,1,121,74,4,-41,-6,7,1,92,148,52,1,145,147,34,-53,1,18,1,61,144,120,1,100,169,87,-39,-25,33,8.982146526069662e-17,0,-1.685714285714275,31,17.714285714285715,80,19.08571428571428,109,-0.7428571428571449,14,-2.114285714285714,26,4.657142857142857,26,2.915419101715088,Alzheimer's Disease,2025-11-29T23:05:17.006082
51738,17,0,3279,300,4571,True,5.9366666666666665,416,36.66514224103809,1,93,49,13,1,83,49,13,10,0,0,1,93,49,13,1,83,49,13,10,0,0,1,93,49,13,1,83,49,13,10,0,0,1,93,49,13,1,83,49,13,10,0,0,1,93,49,13,1,83,49,13,10,0,0,1,99,49,18,1,90,49,18,9,0,0,8.982146526069662e-17,0,0.8571428571428606,6,8.622860665026875e-15,0,0.714285714285715,5,-0.14285714285714218,1,0.0,0,0.0,0,5.365024089813232,Alzheimer's Disease,2025-11-29T23:05:22.371553
6310,469,13,14787,300,2154,True,36.75,1446,155.70472322101642,1,0,0,0,1,163,10,0,-163,-10,0,1,0,0,0,1,163,10,0,-163,-10,0,1,0,0,0,1,163,10,0,-163,-10,0,1,0,0,0,1,163,10,0,-163,-10,0,1,0,0,0,1,176,27,0,-176,-27,0,1,0,0,0,1,152,56,6,-152,-56,-6,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,0.4571428571428481,24,-8.028571428571427,46,-0.8571428571428568,6,2.794862747192383,Alzheimer's Disease,2025-11-29T23:05:25.167166
51741,619,32,15618,300,4215,True,33.00666666666667,2208,179.12913392919145,1,0,0,0,1,90,87,15,-90,-87,-15,1,0,0,0,1,90,87,15,-90,-87,-15,1,0,0,0,1,90,87,15,-90,-87,-15,1,0,0,0,1,90,87,15,-90,-87,-15,1,0,0,0,1,90,87,15,-90,-87,-15,1,0,0,0,1,71,60,21,-71,-60,-21,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,2.714285714285701,19,3.857142857142852,27,-0.8571428571428585,6,4.432052135467529,Alzheimer's Disease,2025-11-29T23:05:29.599852
1508,224,167,14131,300,4474,True,36.18666666666667,2208,178.46932086184697,1,30,83,57,1,94,212,53,-64,-129,4,1,30,83,57,1,94,212,53,-64,-129,4,1,30,83,57,1,94,212,53,-64,-129,4,1,30,83,57,1,94,212,53,-64,-129,4,1,28,94,62,1,99,257,58,-71,-163,4,1,26,41,110,1,76,134,69,-50,-93,41,8.982146526069662e-17,0,-0.7428571428571381,4,-5.057142857142852,53,8.000000000000004,53,1.3999999999999944,21,2.22857142857142,70,5.285714285714285,37,3.2421538829803467,Alzheimer's Disease,2025-11-29T23:05:32.842879
1509,153,27,13448,300,6314,True,34.1,1391,126.39001806577396,1,35,72,100,1,44,99,89,-9,-27,11,1,35,72,100,1,44,99,89,-9,-27,11,1,35,72,100,1,44,99,89,-9,-27,11,1,35,72,100,1,44,99,89,-9,-27,11,1,29,99,157,1,39,136,144,-10,-37,13,1,19,49,100,1,28,65,113,-9,-16,-13,8.982146526069662e-17,0,-2.7999999999999976,16,-0.971428571428566,50,4.88571428571429,57,-0.08571428571428641,1,0.7142857142857109,21,-3.2571428571428553,26,5.613927841186523,Alzheimer's Disease,2025-11-29T23:05:38.457460
6288,47,0,3532,300,7111,True,35.15,3080,224.30446755842087,1,50,18,0,1,29,18,0,21,0,0,1,50,18,0,1,29,18,0,21,0,0,1,50,18,0,1,29,18,0,21,0,0,1,50,18,0,1,29,18,0,21,0,0,1,50,18,0,1,29,18,0,21,0,0,1,40,10,9,1,19,9,9,21,1,0,8.982146526069662e-17,0,-1.4285714285714226,10,-1.1428571428571408,8,1.2857142857142854,9,1.437143444171146e-15,0,0.14285714285714277,1,0.0,0,13.0884268283844,Alzheimer's Disease,2025-11-29T23:05:51.546533
10728,434,390,14913,300,4429,True,54.14333333333333,2319,219.94386281251153,1,0,0,0,1,142,114,25,-142,-114,-25,1,0,0,0,1,142,114,25,-142,-114,-25,1,0,0,0,1,142,114,25,-142,-114,-25,1,0,0,0,1,142,114,25,-142,-114,-25,1,0,0,0,1,141,186,50,-141,-186,-50,1,0,0,0,1,85,100,54,-85,-100,-54,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,8.22857142857141,57,-4.171428571428579,86,-6.2857142857142865,29,3.3671460151672363,Alzheimer's Disease,2025-11-29T23:05:54.915850
