node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,project,timestamp
56853,13,66,3087,300,2109,True,56.2,6070,382.0348500682453,2,118,4,1,2,114,4,1,4,0,0,2,118,4,1,2,114,4,1,4,0,0,2,118,4,1,2,114,4,1,4,0,0,2,118,4,1,2,114,4,1,4,0,0,1,150,7,1,1,146,7,1,4,0,0,1,74,42,2,1,69,42,2,5,0,0,-0.2285714285714284,1,-3.542857142857129,76,5.685714285714284,38,0.1428571428571429,1,0.14285714285714324,1,0.0,0,0.0,0,0.5105769634246826,Autism,2025-11-29T23:34:07.897404
3800,73,41,11613,300,4794,True,65.43333333333334,3080,271.53695676443175,2,41,60,25,2,53,56,20,-12,4,5,2,41,60,25,2,53,56,20,-12,4,5,2,41,60,25,2,53,56,20,-12,4,5,2,41,60,25,2,53,56,20,-12,4,5,2,51,105,52,2,62,104,46,-11,1,6,1,15,26,26,1,24,21,19,-9,5,7,-0.1428571428571426,1,-2.857142857142854,36,-0.9999999999999895,79,2.4571428571428586,27,0.5142857142857125,3,-0.11428571428571405,4,0.3714285714285717,2,3.1521689891815186,Autism,2025-11-29T23:34:11.050029
8507,21,70,7069,300,6352,True,66.09666666666666,2208,240.4719678511868,1,18,1,0,1,14,1,0,4,0,0,1,18,1,0,1,14,1,0,4,0,0,1,18,1,0,1,14,1,0,4,0,0,1,18,1,0,1,14,1,0,4,0,0,1,14,11,3,1,10,10,3,4,1,0,1,7,11,4,1,4,11,4,3,0,0,8.982146526069662e-17,0,-1.9142857142857124,11,2.285714285714285,10,0.8285714285714284,4,-0.14285714285714254,1,0.08571428571428572,1,0.0,0,3.849982976913452,Autism,2025-11-29T23:34:14.900669
51322,93,145,11865,300,5691,True,47.95,3080,247.5085065878208,1,69,65,42,1,87,60,37,-18,5,5,1,69,65,42,1,87,60,37,-18,5,5,1,69,65,42,1,87,60,37,-18,5,5,1,69,65,42,1,87,60,37,-18,5,5,1,58,38,25,1,76,34,21,-18,4,4,1,31,24,13,1,50,19,10,-19,5,3,8.982146526069662e-17,0,-6.371428571428567,38,-8.171428571428569,41,-5.599999999999993,29,-0.1428571428571455,1,-0.0857142857142852,1,-0.3714285714285709,2,5.274691820144653,Autism,2025-11-29T23:34:20.176030
1760,21,15,5574,300,5483,True,32.01,2208,171.26812283667968,1,77,127,108,1,71,127,108,6,0,0,1,77,127,108,1,71,127,108,6,0,0,1,77,127,108,1,71,127,108,6,0,0,1,77,127,108,1,71,127,108,6,0,0,1,76,151,134,1,70,151,134,6,0,0,1,54,112,153,1,49,110,153,5,2,0,8.982146526069662e-17,0,-3.371428571428567,23,-0.0857142857142742,39,8.657142857142864,45,-0.14285714285714218,1,0.28571428571428553,2,0.0,0,2.8752148151397705,Autism,2025-11-29T23:34:23.051838
1762,93,15,10965,300,4217,True,68.27,3080,275.0650658177685,1,82,48,18,1,78,43,17,4,5,1,1,82,48,18,1,78,43,17,4,5,1,1,82,48,18,1,78,43,17,4,5,1,1,82,48,18,1,78,43,17,4,5,1,1,99,81,27,1,95,74,25,4,7,2,1,37,32,5,1,29,26,4,8,6,1,8.982146526069662e-17,0,-4.97142857142856,62,0.5428571428571461,49,-1.0857142857142843,22,0.5714285714285716,4,0.3142857142857146,2,0.0857142857142858,1,2.7953226566314697,Autism,2025-11-29T23:34:25.847637
8861,118,33,10366,300,5942,True,22.666666666666668,1446,110.39203876286652,1,65,129,11,1,68,115,11,-3,14,0,1,65,129,11,1,68,115,11,-3,14,0,1,65,129,11,1,68,115,11,-3,14,0,1,65,129,11,1,68,115,11,-3,14,0,1,53,205,25,1,59,194,24,-6,11,1,1,44,213,145,1,52,215,128,-8,-2,17,8.982146526069662e-17,0,-4.028571428571423,21,18.51428571428571,84,20.342857142857135,134,-0.9714285714285712,5,-2.5428571428571414,16,2.5142857142857133,17,3.757673978805542,Autism,2025-11-29T23:34:29.605714
3786,35,0,3800,300,4039,True,55.45666666666666,6070,390.8987611333086,1,100,137,24,1,87,137,24,13,0,0,1,100,137,24,1,87,137,24,13,0,0,1,100,137,24,1,87,137,24,13,0,0,1,100,137,24,1,87,137,24,13,0,0,1,103,155,32,1,90,155,32,13,0,0,1,86,130,45,1,77,129,45,9,1,0,8.982146526069662e-17,0,-1.742857142857137,17,0.5428571428571606,25,3.6857142857142864,21,-0.5714285714285708,4,0.14285714285714277,1,0.0,0,1.5900819301605225,Autism,2025-11-29T23:34:31.196951
287,259,1632,13461,300,5719,True,67.84333333333333,2319,273.1947878752855,1,11,39,32,1,38,132,68,-27,-93,-36,1,11,39,32,1,38,132,68,-27,-93,-36,1,11,39,32,1,38,132,68,-27,-93,-36,1,11,39,32,1,38,132,68,-27,-93,-36,1,21,63,110,1,45,142,124,-24,-79,-14,1,14,36,84,1,25,58,85,-11,-22,-1,8.982146526069662e-17,0,1.2857142857142863,10,1.628571428571429,27,14.11428571428571,78,2.542857142857139,16,11.342857142857138,71,6.88571428571428,35,4.009138345718384,Autism,2025-11-29T23:34:35.206524
10194,20,5,5658,300,6153,True,53.053333333333335,2319,228.81287220977956,1,72,121,105,1,71,121,105,1,0,0,1,72,121,105,1,71,121,105,1,0,0,1,72,121,105,1,71,121,105,1,0,0,1,72,121,105,1,71,121,105,1,0,0,1,67,148,126,1,67,148,126,0,0,0,1,31,83,147,1,31,82,147,0,1,0,8.982146526069662e-17,0,-6.285714285714273,41,-3.114285714285708,65,7.800000000000007,42,-0.22857142857142845,1,0.14285714285714277,1,0.0,0,2.9434070587158203,Autism,2025-11-29T23:34:38.150478
