node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,project,timestamp
5289,97,63,12370,300,5995,True,45.00333333333333,2208,180.80624064327966,1,43,79,79,1,45,83,62,-2,-4,17,1,43,79,79,1,45,83,62,-2,-4,17,1,43,79,79,1,45,83,62,-2,-4,17,1,43,79,79,1,45,83,62,-2,-4,17,1,27,46,84,1,43,50,69,-16,-4,15,1,22,28,50,1,30,29,44,-8,-1,6,8.982146526069662e-17,0,-4.371428571428568,21,-10.114285714285716,51,-3.714285714285706,34,-2.0571428571428565,14,0.42857142857142855,3,-1.742857142857141,11,5.6514341831207275,Autophagy,2025-11-29T23:50:37.513539
5291,79,80,9229,300,4586,True,65.41333333333333,2319,251.52463594822848,1,134,99,2,1,135,88,2,-1,11,0,1,134,99,2,1,135,88,2,-1,11,0,1,134,99,2,1,135,88,2,-1,11,0,1,134,99,2,1,135,88,2,-1,11,0,1,116,258,32,1,112,248,31,4,10,1,1,70,109,69,1,68,100,68,2,9,1,8.982146526069662e-17,0,-10.685714285714276,64,15.057142857142857,159,12.142857142857139,67,0.8571428571428568,5,-0.3714285714285705,2,0.22857142857142848,1,2.446300983428955,Autophagy,2025-11-29T23:50:39.960385
54734,52,9,9672,300,2224,True,66.68666666666667,6070,419.51762198453065,1,129,30,1,1,126,24,1,3,6,0,1,129,30,1,1,126,24,1,3,6,0,1,129,30,1,1,126,24,1,3,6,0,1,129,30,1,1,126,24,1,3,6,0,1,153,55,3,1,147,48,3,6,7,0,1,47,74,14,1,45,70,13,2,4,1,8.982146526069662e-17,0,-9.657142857142848,106,8.428571428571427,44,2.0285714285714276,13,0.11428571428571453,4,-0.19999999999999926,3,0.14285714285714277,1,2.1483991146087646,Autophagy,2025-11-29T23:50:42.109239
84938,38,25,4473,300,4914,True,63.18333333333333,3080,312.9648697892819,1,38,25,16,1,29,25,16,9,0,0,1,38,25,16,1,29,25,16,9,0,0,1,38,25,16,1,29,25,16,9,0,0,1,38,25,16,1,29,25,16,9,0,0,1,47,56,20,1,36,55,20,11,1,0,1,36,29,12,1,24,28,12,12,1,0,8.982146526069662e-17,0,0.4857142857142897,11,3.228571428571429,31,-0.2285714285714269,8,0.6000000000000004,3,0.22857142857142848,1,0.0,0,1.996886968612671,Autophagy,2025-11-29T23:50:44.106906
8396,83,33,10313,300,4260,True,82.37666666666667,6070,427.5898830915229,1,73,144,11,1,79,136,10,-6,8,1,1,73,144,11,1,79,136,10,-6,8,1,1,73,144,11,1,79,136,10,-6,8,1,1,73,144,11,1,79,136,10,-6,8,1,1,77,198,45,1,78,188,44,-1,10,1,1,56,159,112,1,55,151,110,1,8,2,8.982146526069662e-17,0,-2.085714285714278,21,6.771428571428588,54,17.34285714285714,101,1.428571428571428,7,0.1714285714285721,2,0.1428571428571429,1,2.6556098461151123,Autophagy,2025-11-29T23:50:46.762932
25,219,40,14198,300,4914,True,77.49333333333334,3080,309.61156840287623,1,53,99,7,1,106,132,20,-53,-33,-13,1,53,99,7,1,106,132,20,-53,-33,-13,1,53,99,7,1,106,132,20,-53,-33,-13,1,53,99,7,1,106,132,20,-53,-33,-13,1,36,106,44,1,83,175,65,-47,-69,-21,1,24,46,42,1,49,87,83,-25,-41,-41,8.982146526069662e-17,0,-5.599999999999991,29,-6.971428571428558,60,8.171428571428569,37,4.514285714285706,28,-4.228571428571431,36,-4.685714285714284,28,3.2527050971984863,Autophagy,2025-11-29T23:50:50.016067
440026,160,30,12116,300,5390,True,34.693333333333335,2319,177.8835554200806,1,63,188,61,1,110,210,57,-47,-22,4,1,63,188,61,1,110,210,57,-47,-22,4,1,63,188,61,1,110,210,57,-47,-22,4,1,63,188,61,1,110,210,57,-47,-22,4,1,67,216,79,1,115,241,70,-48,-25,9,1,57,208,133,1,92,228,115,-35,-20,18,8.982146526069662e-17,0,-0.5142857142857065,10,5.2571428571428696,28,11.828571428571426,72,1.6285714285714241,13,0.02857142857142489,5,2.4285714285714284,14,3.6160969734191895,Autophagy,2025-11-29T23:50:53.635113
25851,14,0,6535,300,8004,True,59.56,2319,260.58170772331664,1,13,10,9,1,12,10,9,1,0,0,1,13,10,9,1,12,10,9,1,0,0,1,13,10,9,1,12,10,9,1,0,0,1,13,10,9,1,12,10,9,1,0,0,1,13,14,8,1,13,13,8,0,1,0,1,4,13,17,1,3,11,17,1,2,0,8.982146526069662e-17,0,-1.2857142857142831,9,0.7714285714285717,4,1.0571428571428572,9,-0.08571428571428558,1,0.3714285714285713,2,0.0,0,13.742616176605225,Autophagy,2025-11-29T23:51:07.378401
57655,184,121,11754,300,3986,True,15.566666666666666,664,67.53013319170108,1,80,52,4,1,144,49,3,-64,3,1,1,80,52,4,1,144,49,3,-64,3,1,1,80,52,4,1,144,49,3,-64,3,1,1,80,52,4,1,144,49,3,-64,3,1,1,81,52,4,1,145,49,3,-64,3,1,1,43,82,18,1,100,79,16,-57,3,2,8.982146526069662e-17,0,-5.199999999999999,38,4.28571428571429,30,1.9999999999999996,14,0.9999999999999913,7,5.988097684046442e-17,0,0.1428571428571429,1,5.015913963317871,Autophagy,2025-11-29T23:51:12.395426
84971,14,10,4326,300,4028,True,44.94,2208,187.50552809628485,1,104,204,87,1,100,204,87,4,0,0,1,104,204,87,1,100,204,87,4,0,0,1,104,204,87,1,100,204,87,4,0,0,1,104,204,87,1,100,204,87,4,0,0,1,110,275,133,1,106,275,133,4,0,0,1,66,145,116,1,62,145,116,4,0,0,8.982146526069662e-17,0,-4.9142857142857075,44,-2.342857142857114,130,8.085714285714289,46,3.592858610427865e-16,0,0.0,0,0.0,0,1.0061829090118408,Autophagy,2025-11-29T23:51:13.402463
