node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,project,timestamp
287,259,1632,13461,300,5719,True,67.84333333333333,2319,273.1947878752855,1,11,39,32,1,38,132,68,-27,-93,-36,1,11,39,32,1,38,132,68,-27,-93,-36,1,11,39,32,1,38,132,68,-27,-93,-36,1,11,39,32,1,38,132,68,-27,-93,-36,1,21,63,110,1,45,142,124,-24,-79,-14,1,14,36,84,1,25,58,85,-11,-22,-1,8.982146526069662e-17,0,1.2857142857142863,10,1.628571428571429,27,14.11428571428571,78,2.542857142857139,16,11.342857142857138,71,6.88571428571428,35,4.164602994918823,Candidate,2025-11-30T00:53:33.440931
197131,259,60,12665,300,2509,True,18.563333333333333,3080,182.389434970584,1,70,38,10,1,123,89,8,-53,-51,2,1,70,38,10,1,123,89,8,-53,-51,2,1,70,38,10,1,123,89,8,-53,-51,2,1,70,38,10,1,123,89,8,-53,-51,2,1,70,38,10,1,123,89,8,-53,-51,2,1,56,29,36,1,106,71,21,-50,-42,15,8.982146526069662e-17,0,-1.9999999999999962,14,-1.2857142857142814,9,3.714285714285713,26,0.42857142857142844,3,1.2857142857142834,9,1.8571428571428563,13,2.8629519939422607,Candidate,2025-11-30T00:53:36.304448
550,259,0,13901,300,6473,True,26.586666666666666,3080,192.00280159993034,1,19,20,11,1,119,110,20,-100,-90,-9,1,19,20,11,1,119,110,20,-100,-90,-9,1,19,20,11,1,119,110,20,-100,-90,-9,1,19,20,11,1,119,110,20,-100,-90,-9,1,17,24,15,1,116,115,28,-99,-91,-13,1,11,12,14,1,101,109,36,-90,-97,-22,8.982146526069662e-17,0,-1.3142857142857132,8,-0.7999999999999975,12,0.7714285714285719,4,1.5142857142857131,10,-1.0857142857142867,7,-2.2000000000000006,13,9.825278043746948,Candidate,2025-11-30T00:53:46.130262
11047,259,0,14991,300,10275,True,96.56,6070,452.36036490096404,1,10,17,52,1,18,63,188,-8,-46,-136,1,10,17,52,1,18,63,188,-8,-46,-136,1,10,17,52,1,18,63,188,-8,-46,-136,1,10,17,52,1,18,63,188,-8,-46,-136,1,11,38,138,1,19,93,310,-8,-55,-172,1,6,17,48,1,10,37,124,-4,-20,-76,8.982146526069662e-17,0,-0.48571428571428443,5,1.8000000000000023,21,6.800000000000005,90,0.5714285714285704,4,2.9428571428571337,35,5.485714285714269,96,36.25950884819031,Candidate,2025-11-30T00:54:22.390663
23636,259,0,14137,300,4787,True,32.86,1134,128.1385984003259,1,36,22,10,1,100,98,39,-64,-76,-29,1,36,22,10,1,100,98,39,-64,-76,-29,1,36,22,10,1,100,98,39,-64,-76,-29,1,36,22,10,1,100,98,39,-64,-76,-29,1,29,42,21,1,93,144,62,-64,-102,-41,1,22,52,37,1,68,189,58,-46,-137,-21,8.982146526069662e-17,0,-2.599999999999997,14,6.0,30,4.8,27,2.571428571428565,18,-10.942857142857145,61,0.11428571428571009,20,3.957850217819214,Candidate,2025-11-30T00:54:26.348997
2617,260,0,14555,300,8506,True,32.88333333333333,2208,165.83969083291117,1,14,28,101,1,36,97,251,-22,-69,-150,1,14,28,101,1,36,97,251,-22,-69,-150,1,14,28,101,1,36,97,251,-22,-69,-150,1,14,28,101,1,36,97,251,-22,-69,-150,1,12,30,93,1,36,101,246,-24,-71,-153,1,4,6,22,1,24,35,62,-20,-29,-40,8.982146526069662e-17,0,-1.5999999999999983,10,-2.9714285714285693,24,-11.971428571428557,79,0.11428571428571298,4,5.5428571428571365,42,15.457142857142827,113,14.444220066070557,Candidate,2025-11-30T00:54:40.793872
200232,260,0,6941,300,1913,True,1.6366666666666667,83,9.77571764913224,1,94,57,17,1,237,46,0,-143,11,17,1,94,57,17,1,237,46,0,-143,11,17,1,94,57,17,1,237,46,0,-143,11,17,1,94,57,17,1,237,46,0,-143,11,17,1,94,57,17,1,237,46,0,-143,11,17,1,113,62,17,1,263,48,0,-150,14,17,8.982146526069662e-17,0,2.7142857142857166,19,0.7142857142857185,5,1.437143444171146e-15,0,-1.0000000000000049,7,0.42857142857142916,3,1.437143444171146e-15,0,1.4894728660583496,Candidate,2025-11-30T00:54:42.286361
5110,260,0,15067,300,5767,True,44.53333333333333,3080,268.2289362134932,1,21,46,52,1,80,86,79,-59,-40,-27,1,21,46,52,1,80,86,79,-59,-40,-27,1,21,46,52,1,80,86,79,-59,-40,-27,1,21,46,52,1,80,86,79,-59,-40,-27,1,18,62,66,1,78,132,106,-60,-70,-40,1,10,25,32,1,39,89,89,-29,-64,-57,8.982146526069662e-17,0,-1.8285714285714272,11,-1.6285714285714241,37,-1.6571428571428468,34,4.199999999999998,31,-6.0,30,-5.4,30,5.06481409072876,Candidate,2025-11-30T00:54:47.351592
5978,260,0,13372,300,10377,True,51.806666666666665,3080,266.0822729073764,1,10,16,24,1,21,29,30,-11,-13,-6,1,10,16,24,1,21,29,30,-11,-13,-6,1,10,16,24,1,21,29,30,-11,-13,-6,1,10,16,24,1,21,29,30,-11,-13,-6,1,8,18,22,1,21,26,24,-13,-8,-2,1,8,21,28,1,16,23,31,-8,-2,-3,8.982146526069662e-17,0,-0.45714285714285646,2,0.8857142857142861,5,0.40000000000000163,6,0.25714285714285634,5,1.9999999999999973,11,0.7714285714285706,4,243.15510487556458,Candidate,2025-11-30T00:58:50.508203
6453,260,0,14269,300,3889,True,40.45333333333333,3080,206.42296663781272,1,33,62,22,1,93,147,62,-60,-85,-40,1,33,62,22,1,93,147,62,-60,-85,-40,1,33,62,22,1,93,147,62,-60,-85,-40,1,33,62,22,1,93,147,62,-60,-85,-40,1,36,77,25,1,104,184,72,-68,-107,-47,1,31,100,63,1,96,220,133,-65,-120,-70,8.982146526069662e-17,0,-0.028571428571426326,5,6.714285714285721,38,6.114285714285713,41,-1.4000000000000021,8,-6.885714285714288,35,-4.885714285714286,30,3.168739080429077,Candidate,2025-11-30T00:58:53.678850
