node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,project,timestamp
55120,67,49,5984,300,4072,True,61.86,3080,266.5681283774688,1,186,43,3,1,177,43,3,9,0,0,1,186,43,3,1,177,43,3,9,0,0,1,186,43,3,1,177,43,3,9,0,0,1,186,43,3,1,177,43,3,9,0,0,1,151,65,33,1,150,64,33,1,1,0,1,84,24,2,1,83,21,2,1,3,0,8.982146526069662e-17,0,-17.57142857142855,102,-0.8285714285714229,41,2.4285714285714284,31,-1.8285714285714276,8,0.514285714285714,3,0.0,0,1.743623971939087,Fanconi Anemia,2025-11-30T00:11:39.040874
378708,34,10,6688,300,1763,True,59.05,6070,382.25546540675305,1,90,11,0,1,89,11,0,1,0,0,1,90,11,0,1,89,11,0,1,0,0,1,90,11,0,1,89,11,0,1,0,0,1,90,11,0,1,89,11,0,1,0,0,1,131,26,0,1,131,26,0,0,0,0,1,21,17,2,1,22,17,2,-1,0,0,8.982146526069662e-17,0,-6.342857142857133,110,2.1428571428571437,15,0.28571428571428553,2,-0.3714285714285713,2,0.0,0,0.0,0,1.50541090965271,Fanconi Anemia,2025-11-30T00:11:40.546734
7516,24,5,4410,300,6053,True,35.96,2208,166.0164803064242,1,58,66,94,1,53,66,94,5,0,0,1,58,66,94,1,53,66,94,5,0,0,1,58,66,94,1,53,66,94,5,0,0,1,58,66,94,1,53,66,94,5,0,0,1,69,83,121,1,63,83,121,6,0,0,1,49,69,119,1,44,69,119,5,0,0,8.982146526069662e-17,0,-0.342857142857137,20,1.8857142857142928,17,5.885714285714295,27,0.08571428571428592,1,0.0,0,0.0,0,3.9532699584960938,Fanconi Anemia,2025-11-30T00:11:44.500349
3280,51,10,8595,300,6284,True,59.27333333333333,3080,270.790309936592,1,29,44,16,1,25,37,16,4,7,0,1,29,44,16,1,25,37,16,4,7,0,1,29,44,16,1,25,37,16,4,7,0,1,29,44,16,1,25,37,16,4,7,0,1,36,42,39,1,36,35,39,0,7,0,1,23,22,47,1,20,16,45,3,6,2,8.982146526069662e-17,0,-0.25714285714285706,13,-3.314285714285708,22,6.3999999999999995,31,-0.48571428571428515,4,-0.1428571428571424,1,0.28571428571428553,2,3.651416778564453,Fanconi Anemia,2025-11-30T00:11:48.152351
254394,49,12,6139,300,4420,True,48.89,2208,191.5337339304315,1,132,108,23,1,126,102,23,6,6,0,1,132,108,23,1,126,102,23,6,6,0,1,132,108,23,1,126,102,23,6,6,0,1,132,108,23,1,126,102,23,6,6,0,1,141,154,51,1,137,143,51,4,11,0,1,33,52,32,1,28,40,32,5,12,0,8.982146526069662e-17,0,-13.371428571428552,108,-4.057142857142845,102,3.6857142857142855,28,-0.31428571428571356,2,1.2857142857142856,6,0.0,0,1.714128017425537,Fanconi Anemia,2025-11-30T00:11:49.867364
27033,57,0,4634,300,3499,True,30.446666666666665,1482,139.47140861919416,1,138,96,13,1,131,93,12,7,3,1,1,138,96,13,1,131,93,12,7,3,1,1,138,96,13,1,131,93,12,7,3,1,1,138,96,13,1,131,93,12,7,3,1,1,136,120,13,1,130,116,12,6,4,1,1,127,169,16,1,119,164,15,8,5,1,8.982146526069662e-17,0,-1.7428571428571296,11,12.485714285714282,73,0.4285714285714299,3,0.057142857142857204,2,0.3714285714285716,2,8.982146526069662e-17,0,1.18802809715271,Fanconi Anemia,2025-11-30T00:11:51.055739
5610,347,188,14579,300,6189,True,28.97,2208,156.1023887282532,1,0,0,0,1,49,83,29,-49,-83,-29,1,0,0,0,1,49,83,29,-49,-83,-29,1,0,0,0,1,49,83,29,-49,-83,-29,1,0,0,0,1,49,83,29,-49,-83,-29,1,0,0,0,1,49,83,29,-49,-83,-29,1,0,0,0,1,29,78,50,-29,-78,-50,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,2.857142857142853,20,0.7142857142857109,5,-3.0,21,9.584411859512329,Fanconi Anemia,2025-11-30T00:12:00.640512
4292,246,454,13041,300,4195,True,55.45333333333333,3080,253.65174515903135,1,28,84,33,1,79,204,25,-51,-120,8,1,28,84,33,1,79,204,25,-51,-120,8,1,28,84,33,1,79,204,25,-51,-120,8,1,28,84,33,1,79,204,25,-51,-120,8,1,33,109,106,1,92,273,95,-59,-164,11,1,22,50,68,1,79,103,80,-57,-53,-12,8.982146526069662e-17,0,-0.4285714285714275,11,-2.714285714285707,59,11.257142857142858,73,-1.5428571428571414,8,5.799999999999992,111,-2.5999999999999983,23,2.9632818698883057,Fanconi Anemia,2025-11-30T00:12:03.604756
1663,69,520,8854,300,8101,True,61.95666666666666,2319,254.1459189564574,1,38,54,54,1,30,46,54,8,8,0,1,38,54,54,1,30,46,54,8,8,0,1,38,54,54,1,30,46,54,8,8,0,1,38,54,54,1,30,46,54,8,8,0,1,35,56,72,1,28,43,72,7,13,0,1,29,26,33,1,24,15,27,5,11,6,8.982146526069662e-17,0,-1.5428571428571414,9,-3.8285714285714287,30,-1.4571428571428566,39,-0.5142857142857137,3,0.8571428571428571,5,0.8571428571428568,6,9.286919832229614,Fanconi Anemia,2025-11-30T00:12:12.892122
51455,32,20,9485,300,5315,True,86.33,3080,315.07067106709036,1,116,119,8,1,111,119,8,5,0,0,1,116,119,8,1,111,119,8,5,0,0,1,116,119,8,1,111,119,8,5,0,0,1,117,119,8,1,112,119,8,5,0,0,1,17,29,12,1,21,20,12,-4,9,0,1,14,23,14,1,18,15,14,-4,8,0,8.982146526069662e-17,0,-23.028571428571404,103,-21.428571428571413,96,1.2000000000000004,6,-2.0571428571428556,9,1.9142857142857137,9,0.0,0,2.823172092437744,Fanconi Anemia,2025-11-30T00:12:15.716387
353497,17,1,3088,300,4455,True,41.306666666666665,2208,186.1019235675858,1,124,85,17,1,123,85,17,1,0,0,1,124,85,17,1,123,85,17,1,0,0,1,124,85,17,1,123,85,17,1,0,0,1,124,85,17,1,123,85,17,1,0,0,1,128,99,29,1,126,99,29,2,0,0,1,37,50,19,1,36,50,19,1,0,0,8.982146526069662e-17,0,-12.08571428571426,91,-3.799999999999992,49,1.314285714285715,12,0.0857142857142858,1,0.0,0,0.0,0,1.428553819656372,Fanconi Anemia,2025-11-30T00:12:17.145503
2175,167,302,11996,300,4093,True,52.68666666666667,2319,213.6989669813331,1,96,74,3,1,146,52,1,-50,22,2,1,96,74,3,1,146,52,1,-50,22,2,1,96,74,3,1,146,52,1,-50,22,2,1,96,74,3,1,146,52,1,-50,22,2,1,56,48,10,1,112,32,9,-56,16,1,1,48,53,8,1,84,51,8,-36,2,0,8.982146526069662e-17,0,-10.285714285714283,48,-5.228571428571417,26,1.314285714285714,7,1.485714285714283,20,-3.3714285714285688,20,-0.37142857142857116,2,2.9949679374694824,Fanconi Anemia,2025-11-30T00:12:20.140995
2176,85,75,10080,300,6672,True,58.78666666666667,1482,201.54253766609395,1,32,50,22,1,26,43,22,6,7,0,1,32,50,22,1,26,43,22,6,7,0,1,32,50,22,1,26,43,22,6,7,0,1,32,50,22,1,26,43,22,6,7,0,1,47,96,45,1,41,77,45,6,19,0,1,27,78,63,1,23,65,60,4,13,3,8.982146526069662e-17,0,0.5714285714285725,20,7.942857142857147,46,7.828571428571427,41,-0.2857142857142854,2,1.885714285714286,12,0.4285714285714284,3,8.243706226348877,Fanconi Anemia,2025-11-30T00:12:28.385155
2177,841,342,16559,300,8039,True,60.71666666666667,3080,274.85071655152893,1,0,0,0,1,31,105,86,-31,-105,-86,1,0,0,0,1,31,105,86,-31,-105,-86,1,0,0,0,1,31,105,86,-31,-105,-86,1,0,0,0,1,31,105,86,-31,-105,-86,1,0,0,0,1,24,52,62,-24,-52,-62,1,0,0,0,1,10,20,40,-10,-20,-40,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,3.5999999999999934,21,16.685714285714276,85,8.628571428571417,46,10.084038019180298,Fanconi Anemia,2025-11-30T00:12:38.477604
2178,29,47,5902,300,4831,True,68.84,3080,274.36032463410834,1,110,130,11,1,105,130,11,5,0,0,1,110,130,11,1,105,130,11,5,0,0,1,110,130,11,1,105,130,11,5,0,0,1,110,130,11,1,105,130,11,5,0,0,1,14,10,8,1,13,9,8,1,1,0,1,11,14,3,1,11,13,3,0,1,0,8.982146526069662e-17,0,-22.37142857142855,99,-26.857142857142836,120,-1.3999999999999977,8,-1.0571428571428565,5,0.22857142857142848,1,0.0,0,1.8571319580078125,Fanconi Anemia,2025-11-30T00:12:40.335921
79008,45,0,5462,300,5895,True,49.07333333333333,2319,223.38809567407318,1,15,29,27,1,13,26,27,2,3,0,1,15,29,27,1,13,26,27,2,3,0,1,15,29,27,1,13,26,27,2,3,0,1,15,29,27,1,13,26,27,2,3,0,1,13,47,53,1,11,43,53,2,4,0,1,16,38,37,1,13,33,37,3,5,0,8.982146526069662e-17,0,-0.028571428571427766,3,2.828571428571429,18,3.657142857142856,26,0.14285714285714296,1,0.3714285714285716,2,0.0,0,3.668903112411499,Fanconi Anemia,2025-11-30T00:12:44.005288
2072,83,40,10785,300,4989,True,49.473333333333336,2208,194.97810805888494,1,27,84,40,1,32,74,36,-5,10,4,1,27,84,40,1,32,74,36,-5,10,4,1,27,84,40,1,32,74,36,-5,10,4,1,27,84,40,1,32,74,36,-5,10,4,1,27,87,106,1,33,84,99,-6,3,7,1,24,73,89,1,26,72,82,-2,1,7,8.982146526069662e-17,0,-0.42857142857142555,3,-1.3142857142857087,14,12.657142857142857,66,0.3428571428571425,4,-1.885714285714285,9,0.6857142857142858,3,2.9423859119415283,Fanconi Anemia,2025-11-30T00:12:46.948189
983,527,1446,16026,300,6338,True,65.10333333333334,2208,222.4419609446223,1,0,0,0,1,88,180,52,-88,-180,-52,1,0,0,0,1,88,180,52,-88,-180,-52,1,0,0,0,1,88,180,52,-88,-180,-52,1,0,0,0,1,88,180,52,-88,-180,-52,1,0,0,0,1,62,232,105,-62,-232,-105,1,0,0,0,1,50,137,127,-50,-137,-127,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,7.657142857142846,38,1.6857142857142557,95,-15.257142857142854,75,4.432146787643433,Fanconi Anemia,2025-11-30T00:12:51.380843
7314,414,6070,14395,300,2525,True,69.75333333333333,6070,434.3516614705442,1,0,0,0,1,149,35,2,-149,-35,-2,1,0,0,0,1,149,35,2,-149,-35,-2,1,0,0,0,1,149,35,2,-149,-35,-2,1,0,0,0,1,149,35,2,-149,-35,-2,1,0,0,0,1,162,35,2,-162,-35,-2,1,0,0,0,1,96,52,14,-96,-52,-14,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,6.457142857142842,66,-2.42857142857143,17,-1.7142857142857137,12,2.962985038757324,Fanconi Anemia,2025-11-30T00:12:54.344490
199990,61,7,8328,300,3803,True,42.51,3080,239.15002940971314,1,107,67,32,1,100,66,32,7,1,0,1,107,67,32,1,100,66,32,7,1,0,1,107,67,32,1,100,66,32,7,1,0,1,107,67,32,1,100,66,32,7,1,0,1,123,84,37,1,119,82,37,4,2,0,1,104,102,47,1,102,94,47,2,8,0,8.982146526069662e-17,0,0.9428571428571483,19,6.457142857142863,35,2.571428571428573,15,-0.9714285714285704,5,1.0857142857142854,7,0.0,0,2.1483471393585205,Fanconi Anemia,2025-11-30T00:12:56.493318
7316,1715,3080,18189,300,5326,True,79.88333333333334,3150,331.013951955033,1,0,0,0,1,161,168,27,-161,-168,-27,1,0,0,0,1,161,168,27,-161,-168,-27,1,0,0,0,1,161,168,27,-161,-168,-27,1,0,0,0,1,161,168,27,-161,-168,-27,1,0,0,0,1,125,329,83,-125,-329,-83,1,0,0,0,1,64,242,66,-64,-242,-66,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,16.94285714285713,97,-24.371428571428588,161,-10.37142857142857,56,3.5508179664611816,Fanconi Anemia,2025-11-30T00:13:00.044635
