node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,project,timestamp
2335,807,64,16717,300,7181,True,80.71333333333334,6070,441.11720795674654,1,0,0,0,1,39,90,83,-39,-90,-83,1,0,0,0,1,39,90,83,-39,-90,-83,1,0,0,0,1,39,90,83,-39,-90,-83,1,0,0,0,1,39,90,83,-39,-90,-83,1,0,0,0,1,28,58,90,-28,-58,-90,1,0,0,0,1,25,48,51,-25,-48,-51,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,2.9428571428571386,14,8.742857142857137,42,3.971428571428565,39,7.3571600914001465,Glioblastoma,2025-11-30T00:17:28.778663
2735,122,2,11232,300,4303,True,51.17333333333333,2319,229.5642029779227,1,43,87,45,1,51,75,38,-8,12,7,1,43,87,45,1,51,75,38,-8,12,7,1,43,87,45,1,51,75,38,-8,12,7,1,43,87,45,1,51,75,38,-8,12,7,1,52,103,78,1,61,92,69,-9,11,9,1,37,99,164,1,45,94,143,-8,5,21,8.982146526069662e-17,0,-0.08571428571428377,15,3.0857142857142867,16,19.828571428571426,119,-0.08571428571428641,1,-1.0857142857142839,7,2.171428571428571,14,2.9002506732940674,Glioblastoma,2025-11-30T00:17:31.679307
3110,29,5,6078,300,3959,True,14.526666666666667,730,70.71498631046244,1,47,76,7,1,47,74,7,0,2,0,1,47,76,7,1,47,74,7,0,2,0,1,47,76,7,1,47,74,7,0,2,0,1,47,76,7,1,47,74,7,0,2,0,1,46,89,8,1,46,86,8,0,3,0,1,39,140,13,1,39,136,13,0,4,0,8.982146526069662e-17,0,-1.228571428571425,8,10.25714285714286,64,0.9428571428571431,6,0.0,0,0.3714285714285715,2,0.0,0,1.9972620010375977,Glioblastoma,2025-11-30T00:17:33.676948
5290,155,11,12515,300,3877,True,42.11,1896,185.51879841856103,1,80,83,5,1,109,83,3,-29,0,2,1,80,83,5,1,109,83,3,-29,0,2,1,80,83,5,1,109,83,3,-29,0,2,1,80,83,5,1,109,83,3,-29,0,2,1,76,134,19,1,107,149,13,-31,-15,6,1,47,117,79,1,76,129,67,-29,-12,12,8.982146526069662e-17,0,-5.057142857142852,33,9.228571428571435,51,11.771428571428567,74,-0.17142857142857137,2,-2.999999999999999,15,1.771428571428571,10,2.697340726852417,Glioblastoma,2025-11-30T00:17:36.374706
5651,2,0,1474,300,2955,True,35.86333333333334,2995,209.87518033874855,1,92,15,1,1,92,15,1,0,0,0,1,92,15,1,1,92,15,1,0,0,0,1,92,15,1,1,92,15,1,0,0,0,1,92,15,1,1,92,15,1,0,0,0,1,98,56,4,1,97,56,4,1,0,0,1,98,106,25,1,97,106,25,1,0,0,8.982146526069662e-17,0,1.3714285714285805,6,16.51428571428571,91,3.6857142857142846,24,0.22857142857142848,1,0.0,0,0.0,0,0.4700801372528076,Glioblastoma,2025-11-30T00:17:36.845633
1007,5,0,4675,300,4461,True,47.336666666666666,1632,186.5496448372092,1,89,158,51,1,88,158,51,1,0,0,1,89,158,51,1,88,158,51,1,0,0,1,89,158,51,1,88,158,51,1,0,0,1,89,158,51,1,88,158,51,1,0,0,2,76,194,82,2,75,194,82,1,0,0,1,6,0,0,1,5,0,0,1,0,0,0.0857142857142858,1,-12.971428571428563,83,-19.48571428571427,194,-4.628571428571422,82,8.982146526069662e-17,0,0.0,0,0.0,0,1.295886754989624,Glioblastoma,2025-11-30T00:17:38.141920
84643,50,1,5403,300,4619,True,50.47,2208,215.14226866579858,1,104,84,24,1,98,79,24,6,5,0,1,104,84,24,1,98,79,24,6,5,0,1,104,84,24,1,98,79,24,6,5,0,1,104,84,24,1,98,79,24,6,5,0,1,105,130,36,1,99,125,36,6,5,0,1,79,105,49,1,73,100,49,6,5,0,8.982146526069662e-17,0,-3.485714285714274,26,6.942857142857148,46,4.6,25,1.1976195368092883e-16,0,4.790478147237153e-16,0,0.0,0,2.073637008666992,Glioblastoma,2025-11-30T00:17:40.215973
8295,755,179,16427,300,5720,True,34.656666666666666,2208,174.49517315832995,1,0,0,0,2,88,245,99,-88,-245,-99,1,0,0,0,2,88,245,99,-88,-245,-99,1,0,0,0,2,88,245,99,-88,-245,-99,1,0,0,0,2,88,245,99,-88,-245,-99,1,0,0,0,2,59,211,169,-59,-211,-169,1,0,0,0,1,46,63,63,-46,-63,-63,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,8.485714285714273,42,28.9142857142857,182,-0.8571428571428722,106,3.8336827754974365,Glioblastoma,2025-11-30T00:17:44.050144
799,6,0,1676,300,2927,True,23.033333333333335,979,104.50367882945027,1,90,94,21,1,88,94,21,2,0,0,1,90,94,21,1,88,94,21,2,0,0,1,90,94,21,1,88,94,21,2,0,0,1,90,94,21,1,88,94,21,2,0,0,1,101,100,21,1,99,100,21,2,0,0,1,82,127,63,1,79,127,63,3,0,0,8.982146526069662e-17,0,-0.1999999999999929,19,5.228571428571433,33,5.999999999999998,42,0.14285714285714296,1,0.0,0,0.0,0,0.42057085037231445,Glioblastoma,2025-11-30T00:17:44.471409
2956,262,775,14820,300,7930,True,38.266666666666666,2208,171.9611842506584,1,21,52,53,1,55,103,138,-34,-51,-85,1,21,52,53,1,55,103,138,-34,-51,-85,1,21,52,53,1,55,103,138,-34,-51,-85,1,21,52,53,1,55,103,138,-34,-51,-85,1,20,51,55,1,58,105,151,-38,-54,-96,1,10,18,23,1,36,52,92,-26,-34,-69,8.982146526069662e-17,0,-1.6571428571428564,11,-4.942857142857137,34,-4.114285714285709,32,0.7999999999999994,12,2.1714285714285646,20,1.342857142857136,27,8.965787172317505,Glioblastoma,2025-11-30T00:17:53.437596
2153,20,0,4403,300,10198,True,54.42666666666667,3080,269.7528336994607,1,9,11,6,1,4,11,6,5,0,0,1,9,11,6,1,4,11,6,5,0,0,1,9,11,6,1,4,11,6,5,0,0,1,9,11,6,1,4,11,6,5,0,0,1,10,11,8,1,5,11,8,5,0,0,1,13,4,2,1,6,4,2,7,0,0,8.982146526069662e-17,0,0.6571428571428576,4,-0.999999999999999,7,-0.3999999999999996,6,0.28571428571428603,2,0.0,0,0.0,0,31.30368185043335,Glioblastoma,2025-11-30T00:18:24.741847
10735,232,321,14503,300,6783,True,48.946666666666665,3080,271.78396535156776,1,40,42,35,1,76,80,89,-36,-38,-54,1,40,42,35,1,76,80,89,-36,-38,-54,1,40,42,35,1,76,80,89,-36,-38,-54,1,40,42,35,1,76,80,89,-36,-38,-54,1,34,66,54,1,68,110,116,-34,-44,-62,1,28,62,45,1,67,108,85,-39,-46,-40,8.982146526069662e-17,0,-2.228571428571426,12,4.914285714285716,24,3.057142857142856,19,-0.25714285714285895,5,-1.6571428571428592,8,1.3142857142857125,22,8.080679893493652,Glioblastoma,2025-11-30T00:18:32.823139
145581,2,0,1247,300,937,True,7.206666666666667,464,46.28150050386103,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,2,0,0,1,0,0,8.982146526069662e-17,0,0.4285714285714284,3,0.0,0,0.0,0,0.14285714285714277,1,0.0,0,0.0,0,0.10720086097717285,Glioblastoma,2025-11-30T00:18:32.931968
126206,14,1,5842,300,5828,True,64.77,6070,405.8755356428044,1,40,93,123,1,38,93,123,2,0,0,1,40,93,123,1,38,93,123,2,0,0,1,40,93,123,1,38,93,123,2,0,0,1,40,93,123,1,38,93,123,2,0,0,1,36,98,188,1,34,98,188,2,0,0,1,39,82,267,1,38,82,267,1,0,0,8.982146526069662e-17,0,-0.48571428571428205,4,-1.1428571428571297,16,26.142857142857142,144,-0.1428571428571426,1,0.0,0,0.0,0,3.4827489852905273,Glioblastoma,2025-11-30T00:18:36.415002
10512,51,0,8763,300,2765,True,34.71,2319,198.3526805969609,1,98,57,4,1,91,55,4,7,2,0,1,98,57,4,1,91,55,4,7,2,0,1,98,57,4,1,91,55,4,7,2,0,1,98,57,4,1,91,55,4,7,2,0,1,97,65,4,1,92,62,4,5,3,0,1,88,112,39,1,87,101,39,1,11,0,8.982146526069662e-17,0,-1.5142857142857056,10,8.542857142857143,55,4.999999999999998,35,-1.0285714285714271,6,1.371428571428571,9,0.0,0,2.0641250610351562,Glioblastoma,2025-11-30T00:18:38.479582
