node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,is_ad,ad_category
2048,191,13015,300,3425,True,67463,3.17008900642395,1,35,86,43,1,64,113,49,0,-29,-27,-6,True,Tau
10241,487,14903,300,2754,True,47230,2.977073907852173,1,0,0,0,1,154,50,11,0,-154,-50,-11,True,Tau
2,186,12724,300,2291,True,22181,2.6415622234344482,1,70,133,15,1,121,126,11,0,-51,7,4,True,Amyloid
79882,178,13449,300,7230,True,2093159,5.445601940155029,1,10,30,68,1,20,43,78,0,-10,-13,-10,True,Tau
12,115,8958,300,5082,True,763873,2.944826126098633,1,81,65,13,1,69,44,13,0,12,21,0,True,Amyloid
2066,176,10492,300,3628,True,118694,2.3730409145355225,1,50,78,42,1,65,83,35,0,-15,-5,7,True,Amyloid
19,32,8453,300,3213,True,74099,2.051801919937134,1,25,31,3,1,21,26,3,0,4,5,0,True,Amyloid
25,219,14198,300,4914,True,232957,2.9671318531036377,1,24,46,42,1,49,87,83,0,-25,-41,-41,True,Tau
27,103,12095,300,4400,True,164124,2.699031114578247,1,28,81,98,1,32,91,95,0,-4,-10,3,True,Tau
10273,620,16733,300,6726,True,1118998,4.338145732879639,1,0,0,0,1,20,74,92,0,-20,-74,-92,True,Tau
4129,37,8172,300,2194,True,6983,1.7481749057769775,1,162,231,1,1,155,217,1,0,7,14,0,True,Amyloid
4133,77,12191,300,2860,True,62953,2.5236778259277344,1,40,82,59,1,42,86,44,0,-2,-4,15,True,Tau
10280,136,12495,300,3864,True,252698,2.926499843597412,1,38,40,10,1,131,114,11,0,-93,-74,-1,True,Tau
4139,72,10163,300,4879,True,292791,2.6403279304504395,1,35,129,94,1,37,114,92,0,-2,15,2,True,Tau
4140,240,13816,300,5615,True,530994,3.490853786468506,1,18,51,113,1,40,99,197,0,-22,-48,-84,True,Tau
6195,198,13158,300,4469,True,281543,3.2516331672668457,1,21,54,51,1,50,90,53,0,-29,-36,-2,True,Tau
2099,2291,18047,300,5461,True,479002,3.6681718826293945,1,0,0,0,1,42,96,77,0,-42,-96,-77,True,Both
6197,194,13729,300,5710,True,842687,3.9199109077453613,1,17,45,70,1,48,72,81,0,-31,-27,-11,True,Tau
6198,110,13087,300,5627,True,659639,3.39694881439209,1,12,29,51,1,16,38,50,0,-4,-9,1,True,Tau
10295,140,12879,300,3929,True,110482,2.8060050010681152,1,47,81,168,1,58,80,125,0,-11,1,43,True,Tau
2100,2291,18007,300,3771,True,120232,3.4809470176696777,1,0,0,0,1,61,82,22,0,-61,-82,-22,True,Both
120892,482,14793,300,5152,True,388971,3.289639949798584,1,0,0,0,1,48,68,35,0,-48,-68,-35,True,Tau
90,58,7855,300,2884,True,26453,1.758439064025879,1,145,166,36,1,166,152,36,0,-21,14,0,True,Tau
2147,41,8190,300,3658,True,181948,1.962571144104004,1,24,33,23,1,28,25,23,0,-4,8,0,True,Tau
102,90,11946,300,4700,True,643258,3.223686695098877,1,29,55,22,1,65,47,21,0,-36,8,1,True,Amyloid
53353,70,10644,300,1809,True,26179,2.199741840362549,1,57,44,8,1,50,41,8,0,7,3,0,True,Amyloid
8301,265,14357,300,5999,True,608149,3.520684003829956,1,9,26,43,1,66,122,99,0,-57,-96,-56,True,Amyloid
116,29,3745,300,4573,True,192301,1.0979678630828857,1,51,134,124,2,36,134,124,-1,15,0,0,True,Amyloid
4214,151,12498,300,4863,True,239482,2.785830020904541,1,43,104,187,1,47,93,152,0,-4,11,35,True,Tau
8312,147,12548,300,4614,True,127054,2.695176839828491,1,50,134,97,1,95,155,86,0,-45,-21,11,True,Tau
114815,3,2260,300,5680,True,529426,0.9987740516662598,1,7,2,8,1,5,2,8,0,2,0,0,True,Amyloid
4223,694,13780,300,1400,True,14746,2.90753173828125,1,0,0,0,2,283,3,0,-1,-283,-3,0,True,Amyloid
8325,33,2642,300,2442,True,58835,0.4503500461578369,1,63,18,2,1,50,18,2,0,13,0,0,True,Tau
135,23,3250,300,4679,True,415303,1.2205171585083008,1,66,111,79,1,53,111,79,0,13,0,0,True,Tau
2185,77,10297,300,2984,True,71831,2.203511953353882,1,32,50,24,1,42,49,21,0,-10,1,3,True,Tau
6285,171,9546,300,2135,True,196582,2.5215909481048584,1,125,91,0,1,173,53,0,0,-48,38,0,True,Both
729230,41,5742,300,1507,True,11597,1.120896816253662,1,36,7,0,1,24,7,0,0,12,0,0,True,Both
6288,47,3532,300,7111,True,2771899,5.298170804977417,1,40,10,9,1,19,9,9,0,21,1,0,True,Amyloid
4241,73,9609,300,2041,True,11033,2.0715079307556152,1,181,59,5,1,195,48,5,0,-14,11,0,True,Amyloid
154,324,13890,300,3475,True,150149,2.7563791275024414,1,0,0,0,1,76,91,37,0,-76,-91,-37,True,Both
156,86,11141,300,5743,True,1063155,3.707350969314575,1,16,28,41,1,20,23,35,0,-4,5,6,True,Tau
6300,62,9681,300,5063,True,344173,2.5333480834960938,1,61,60,65,1,62,54,61,0,-1,6,4,True,Both
160,292,15377,300,6822,True,1018750,4.02479887008667,1,3,5,5,1,27,119,152,0,-24,-114,-147,True,Amyloid
2213,15,2824,300,3606,True,80395,0.599276065826416,1,85,129,75,1,83,127,75,0,2,2,0,True,Tau
6310,469,14787,300,2154,True,24138,2.8360440731048584,1,0,0,0,1,152,56,6,0,-152,-56,-6,True,Amyloid
177,19,6288,300,1716,True,16113,1.2349541187286377,1,23,10,2,1,22,9,2,0,1,1,0,True,Amyloid
183,27,9286,300,3041,True,51146,2.118945837020874,1,81,102,56,1,79,101,56,0,2,1,0,True,Tau
6342,68,11021,300,5285,True,721116,3.357083797454834,1,9,14,12,1,8,20,8,0,1,-6,4,True,Amyloid
2247,45,8169,300,6402,True,755900,2.7263729572296143,1,18,35,28,1,18,25,28,0,0,10,0,True,Tau
203,63,10750,300,2297,True,37937,2.353294849395752,1,27,80,45,1,26,72,24,0,1,8,21,True,Tau
8398,23,8974,300,4752,True,210748,2.1325149536132812,1,36,59,60,1,32,59,60,0,4,0,0,True,Tau
207,578,16232,300,6038,True,751488,3.7964560985565186,1,0,0,0,1,33,97,75,0,-33,-97,-75,True,Both
57551,57,10785,300,6184,True,1457048,4.286261081695557,1,18,26,34,1,20,23,33,0,-2,3,1,True,Tau
4311,136,11775,300,4576,True,399215,3.001086950302124,1,13,34,37,1,26,22,24,0,-13,12,13,True,Amyloid
4313,57,6969,300,2496,True,21288,1.4755058288574219,1,126,116,23,1,118,111,23,0,8,5,0,True,Amyloid
4314,20,4800,300,5791,True,4082218,6.800354957580566,1,86,21,14,1,85,21,14,0,1,0,0,True,Amyloid
4318,38,4020,300,7319,True,3340938,6.078912019729614,1,42,12,2,1,34,12,2,0,8,0,0,True,Amyloid
2280,110,11664,300,3206,True,87079,2.592961072921753,1,63,131,63,1,75,123,54,0,-12,8,9,True,Tau
6376,70,5034,300,2417,True,12016,0.9245429039001465,1,346,128,9,1,327,118,9,0,19,10,0,True,Tau
2288,277,14881,300,6082,True,1043631,4.295242071151733,1,9,7,14,1,42,79,68,0,-33,-72,-54,True,Tau
2289,416,15041,300,4404,True,315721,3.0735418796539307,1,0,0,0,1,61,46,37,0,-61,-46,-37,True,Tau
240,73,8279,300,3943,True,298489,2.004063844680786,1,79,79,19,2,63,71,19,-1,16,8,0,True,Tau
6387,30,3947,300,3891,True,340071,1.046306848526001,1,17,10,0,1,15,10,0,0,2,0,0,True,Amyloid
246,11,2234,300,4040,True,103430,0.5229592323303223,1,120,90,75,1,111,90,75,0,9,0,0,True,Tau
51451,28,9035,300,5563,True,644311,2.6854190826416016,1,28,103,39,1,25,99,39,0,3,4,0,True,Tau
8445,167,12237,300,3462,True,207417,2.7177610397338867,1,55,90,26,1,83,67,11,0,-28,23,15,True,Tau
10494,101,10985,300,2322,True,37498,2.5292410850524902,1,82,75,13,1,98,61,12,0,-16,14,1,True,Tau
6416,63,11531,300,6152,True,1097716,3.7686100006103516,1,31,88,110,1,34,86,97,0,-3,2,13,True,Tau
273,53,7241,300,6401,True,831687,2.6848669052124023,1,24,55,51,1,27,52,50,0,-3,3,1,True,Tau
6418,285,15323,300,6492,True,1021640,3.9938457012176514,1,3,3,10,1,44,67,148,0,-41,-64,-138,True,Tau
274,104,12374,300,2751,True,61413,2.5673837661743164,1,38,34,55,1,45,34,41,0,-7,0,14,True,Both
10513,193,10417,300,1301,True,7439,2.1884119510650635,1,93,23,0,1,86,8,0,0,7,15,0,True,Amyloid
