node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,is_ad,ad_category
440730,4834,19297,300,4049,True,98220,3.1415629386901855,1,0,0,0,1,104,171,53,0,-104,-171,-53,False,Non-AD
54764,4160,18846,300,4310,True,148242,3.210965156555176,1,0,0,0,1,83,119,59,0,-83,-119,-59,False,Non-AD
4137,947,16695,300,4957,True,294092,3.2712879180908203,1,0,0,0,1,59,65,24,0,-59,-65,-24,False,Non-AD
6117,3050,18878,300,5676,True,1039280,4.284175157546997,1,0,0,0,1,22,46,23,0,-22,-46,-23,False,Non-AD
6118,2900,18635,300,6116,True,1854038,5.4140191078186035,1,0,0,0,1,22,36,1,0,-22,-36,-1,False,Non-AD
6119,2877,18623,300,6141,True,1993404,5.75194525718689,1,0,0,0,1,12,6,2,0,-12,-6,-2,False,Non-AD
1956,1729,17815,300,3820,True,140879,3.0556070804595947,1,0,0,0,1,63,87,38,0,-63,-87,-38,False,Non-AD
57664,2969,18591,300,4976,True,240022,3.2616171836853027,1,0,0,0,1,54,101,76,0,-54,-101,-76,False,Non-AD
8452,3152,18862,300,5259,True,388313,3.397463083267212,1,0,0,0,1,69,124,93,0,-69,-124,-93,False,Non-AD
7706,2524,18321,300,4469,True,296989,3.5536410808563232,1,0,0,0,1,85,96,31,0,-85,-96,-31,False,Non-AD
4914,2041,17923,300,3377,True,65580,3.0976130962371826,1,0,0,0,1,97,109,17,0,-97,-109,-17,False,Non-AD
25962,2939,18391,300,4584,True,208768,3.13498592376709,1,0,0,0,1,89,110,33,0,-89,-110,-33,False,Non-AD
7415,1404,18137,300,6745,True,856664,4.324597120285034,1,0,0,0,1,56,158,139,0,-56,-158,-139,False,Non-AD
899,2068,17797,300,5117,True,298116,3.3423619270324707,1,0,0,0,1,42,87,31,0,-42,-87,-31,False,Non-AD
5894,1846,17785,300,4693,True,203185,3.2535712718963623,1,0,0,0,1,76,127,48,0,-76,-127,-48,False,Non-AD
7328,1960,17837,300,5141,True,353296,3.273991823196411,1,0,0,0,1,37,99,24,0,-37,-99,-24,False,Non-AD
7532,1185,16959,300,4778,True,195836,3.169233798980713,1,0,0,0,1,36,109,98,0,-36,-109,-98,False,Non-AD
1994,2030,18011,300,4752,True,516212,3.5285391807556152,1,0,0,0,1,104,137,59,0,-104,-137,-59,False,Non-AD
3308,668,17241,300,6837,True,1425012,4.669152021408081,1,0,0,0,1,42,49,58,0,-42,-49,-58,False,Non-AD
7529,982,17160,300,5541,True,585213,3.4878478050231934,1,0,0,0,1,17,54,42,0,-17,-54,-42,False,Non-AD
3191,1978,18288,300,4938,True,1030716,4.121222019195557,1,0,0,0,1,85,61,43,0,-85,-61,-43,False,Non-AD
8314,1285,17094,300,6364,True,885614,3.9546120166778564,1,0,0,0,1,27,70,40,0,-27,-70,-40,False,Non-AD
10618,1583,16603,300,2810,True,44691,2.9036498069763184,1,0,0,0,1,117,59,9,0,-117,-59,-9,False,Non-AD
10155,1466,17940,300,5835,True,684659,3.862399101257324,1,0,0,0,1,60,78,113,0,-60,-78,-113,False,Non-AD
7514,1491,17622,300,4577,True,292009,3.348205089569092,1,0,0,0,1,96,106,72,0,-96,-106,-72,False,Non-AD
10075,1070,17594,300,6702,True,902877,3.9753379821777344,1,0,0,0,1,26,127,89,0,-26,-127,-89,False,Non-AD
1080,1472,16796,300,4100,True,141057,3.1206750869750977,1,0,0,0,1,91,92,52,0,-91,-92,-52,False,Non-AD
4869,1249,17664,300,8350,True,1844251,5.297405958175659,1,0,0,0,1,18,86,203,0,-18,-86,-203,False,Non-AD
330,1321,16751,300,5975,True,574759,3.495521068572998,1,0,0,0,1,24,83,23,0,-24,-83,-23,False,Non-AD
8872,1837,17719,300,5153,True,527630,3.507871150970459,1,0,0,0,1,66,68,34,0,-66,-68,-34,False,Non-AD
