node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
2048,191,13015,300,3425,True,67463,2.514772891998291,1,35,86,43,1,64,113,49,0,-29,-27,-6,Alzheimer's Disease,EPHB2,2025-11-28T22:57:47.587476
10241,487,14903,300,2754,True,47230,2.6721339225769043,1,0,0,0,1,154,50,11,0,-154,-50,-11,Alzheimer's Disease,CALCOCO2,2025-11-28T22:57:50.260192
2,186,12724,300,2291,True,22181,2.3954029083251953,1,70,133,15,1,121,126,11,0,-51,7,4,Alzheimer's Disease,A2M,2025-11-28T22:57:52.656061
79882,178,13449,300,7230,True,2093159,5.025675058364868,1,10,30,68,1,20,43,78,0,-10,-13,-10,Alzheimer's Disease,ZC3H14,2025-11-28T22:57:57.682301
12,115,8958,300,5082,True,763873,2.7526137828826904,1,81,65,13,1,69,44,13,0,12,21,0,Alzheimer's Disease,SERPINA3,2025-11-28T22:58:00.435750
2066,176,10492,300,3628,True,118694,2.235987901687622,1,50,78,42,1,65,83,35,0,-15,-5,7,Alzheimer's Disease,ERBB4,2025-11-28T22:58:02.672324
19,32,8453,300,3213,True,74099,1.9633779525756836,1,25,31,3,1,21,26,3,0,4,5,0,Alzheimer's Disease,ABCA1,2025-11-28T22:58:04.636198
25,219,14198,300,4914,True,232957,2.686457872390747,1,24,46,42,1,49,87,83,0,-25,-41,-41,Alzheimer's Disease,ABL1,2025-11-28T22:58:07.323155
27,103,12095,300,4400,True,164124,2.5767905712127686,1,28,81,98,1,32,91,95,0,-4,-10,3,Alzheimer's Disease,ABL2,2025-11-28T22:58:09.901308
10273,620,16733,300,6726,True,1118998,3.9773190021514893,1,0,0,0,1,20,74,92,0,-20,-74,-92,Alzheimer's Disease,STUB1,2025-11-28T22:58:13.879183
4129,37,8172,300,2194,True,6983,1.607309103012085,1,162,231,1,1,155,217,1,0,7,14,0,Alzheimer's Disease,MAOB,2025-11-28T22:58:15.487195
4133,77,12191,300,2860,True,62953,2.2646472454071045,1,40,82,59,1,42,86,44,0,-2,-4,15,Alzheimer's Disease,MAP2,2025-11-28T22:58:17.752319
10280,136,12495,300,3864,True,252698,2.579523801803589,1,38,40,10,1,131,114,11,0,-93,-74,-1,Alzheimer's Disease,SIGMAR1,2025-11-28T22:58:20.332405
4139,72,10163,300,4879,True,292791,2.371225118637085,1,35,129,94,1,37,114,92,0,-2,15,2,Alzheimer's Disease,MARK1,2025-11-28T22:58:22.704218
4140,240,13816,300,5615,True,530994,3.0698649883270264,1,18,51,113,1,40,99,197,0,-22,-48,-84,Alzheimer's Disease,MARK3,2025-11-28T22:58:25.774689
6195,198,13158,300,4469,True,281543,2.807874917984009,1,21,54,51,1,50,90,53,0,-29,-36,-2,Alzheimer's Disease,RPS6KA1,2025-11-28T22:58:28.583344
2099,2291,18047,300,5461,True,479002,3.2183501720428467,1,0,0,0,1,42,96,77,0,-42,-96,-77,Alzheimer's Disease,ESR1,2025-11-28T22:58:31.802309
6197,194,13729,300,5710,True,842687,3.535752773284912,1,17,45,70,1,48,72,81,0,-31,-27,-11,Alzheimer's Disease,RPS6KA3,2025-11-28T22:58:35.338786
6198,110,13087,300,5627,True,659639,3.2500557899475098,1,12,29,51,1,16,38,50,0,-4,-9,1,Alzheimer's Disease,RPS6KB1,2025-11-28T22:58:38.589527
10295,140,12879,300,3929,True,110482,2.4766781330108643,1,47,81,168,1,58,80,125,0,-11,1,43,Alzheimer's Disease,BCKDK,2025-11-28T22:58:41.067059
2100,2291,18007,300,3771,True,120232,2.888294219970703,1,0,0,0,1,61,82,22,0,-61,-82,-22,Alzheimer's Disease,ESR2,2025-11-28T22:58:43.955835
120892,482,14793,300,5152,True,388971,3.0746729373931885,1,0,0,0,1,48,68,35,0,-48,-68,-35,Alzheimer's Disease,LRRK2,2025-11-28T22:58:47.030999
90,58,7855,300,2884,True,26453,1.5406239032745361,1,145,166,36,1,166,152,36,0,-21,14,0,Alzheimer's Disease,ACVR1,2025-11-28T22:58:48.572139
2147,41,8190,300,3658,True,181948,1.829296350479126,1,24,33,23,1,28,25,23,0,-4,8,0,Alzheimer's Disease,F2,2025-11-28T22:58:50.401954
102,90,11946,300,4700,True,643258,2.9423532485961914,1,29,55,22,1,65,47,21,0,-36,8,1,Alzheimer's Disease,ADAM10,2025-11-28T22:58:53.344843
53353,70,10644,300,1809,True,26179,2.024603843688965,1,57,44,8,1,50,41,8,0,7,3,0,Alzheimer's Disease,LRP1B,2025-11-28T22:58:55.370007
8301,265,14357,300,5999,True,608149,3.200172185897827,1,9,26,43,1,66,122,99,0,-57,-96,-56,Alzheimer's Disease,PICALM,2025-11-28T22:58:58.570770
116,29,3745,300,4573,True,192301,0.9899618625640869,1,51,134,124,2,36,134,124,-1,15,0,0,Alzheimer's Disease,ADCYAP1,2025-11-28T22:58:59.561285
4214,151,12498,300,4863,True,239482,2.6728971004486084,1,43,104,187,1,47,93,152,0,-4,11,35,Alzheimer's Disease,MAP3K1,2025-11-28T22:59:02.234719
8312,147,12548,300,4614,True,127054,2.4416451454162598,1,50,134,97,1,95,155,86,0,-45,-21,11,Alzheimer's Disease,AXIN1,2025-11-28T22:59:04.676948
114815,3,2260,300,5680,True,529426,0.960230827331543,1,7,2,8,1,5,2,8,0,2,0,0,Alzheimer's Disease,SORCS1,2025-11-28T22:59:05.637781
4223,694,13780,300,1400,True,14746,2.578547954559326,1,0,0,0,2,283,3,0,-1,-283,-3,0,Alzheimer's Disease,MEOX2,2025-11-28T22:59:08.217244
8325,33,2642,300,2442,True,58835,0.44042229652404785,1,63,18,2,1,50,18,2,0,13,0,0,Alzheimer's Disease,FZD8,2025-11-28T22:59:08.658387
135,23,3250,300,4679,True,415303,1.1968047618865967,1,66,111,79,1,53,111,79,0,13,0,0,Alzheimer's Disease,ADORA2A,2025-11-28T22:59:09.855750
2185,77,10297,300,2984,True,71831,2.10528302192688,1,32,50,24,1,42,49,21,0,-10,1,3,Alzheimer's Disease,PTK2B,2025-11-28T22:59:11.961564
6285,171,9546,300,2135,True,196582,2.1262221336364746,1,125,91,0,1,173,53,0,0,-48,38,0,Alzheimer's Disease,S100B,2025-11-28T22:59:14.088301
729230,41,5742,300,1507,True,11597,1.0128741264343262,1,36,7,0,1,24,7,0,0,12,0,0,Alzheimer's Disease,CCR2,2025-11-28T22:59:15.101918
6288,47,3532,300,7111,True,2771899,4.99816107749939,1,40,10,9,1,19,9,9,0,21,1,0,Alzheimer's Disease,SAA1,2025-11-28T22:59:20.100690
4241,73,9609,300,2041,True,11033,1.9161529541015625,1,181,59,5,1,195,48,5,0,-14,11,0,Alzheimer's Disease,MFI2,2025-11-28T22:59:22.017364
154,324,13890,300,3475,True,150149,2.6156721115112305,1,0,0,0,1,76,91,37,0,-76,-91,-37,Alzheimer's Disease,ADRB2,2025-11-28T22:59:24.633642
156,86,11141,300,5743,True,1063155,3.4629650115966797,1,16,28,41,1,20,23,35,0,-4,5,6,Alzheimer's Disease,ADRBK1,2025-11-28T22:59:28.097194
6300,62,9681,300,5063,True,344173,2.3499488830566406,1,61,60,65,1,62,54,61,0,-1,6,4,Alzheimer's Disease,MAPK12,2025-11-28T22:59:30.447730
160,292,15377,300,6822,True,1018750,3.756152868270874,1,3,5,5,1,27,119,152,0,-24,-114,-147,Alzheimer's Disease,AP2A1,2025-11-28T22:59:34.204925
2213,15,2824,300,3606,True,80395,0.580855131149292,1,85,129,75,1,83,127,75,0,2,2,0,Alzheimer's Disease,FCGR2B,2025-11-28T22:59:34.786459
6310,469,14787,300,2154,True,24138,2.653377056121826,1,0,0,0,1,152,56,6,0,-152,-56,-6,Alzheimer's Disease,ATXN1,2025-11-28T22:59:37.440316
177,19,6288,300,1716,True,16113,1.1448566913604736,1,23,10,2,1,22,9,2,0,1,1,0,Alzheimer's Disease,AGER,2025-11-28T22:59:38.585711
183,27,9286,300,3041,True,51146,1.976140022277832,1,81,102,56,1,79,101,56,0,2,1,0,Alzheimer's Disease,AGT,2025-11-28T22:59:40.562351
6342,68,11021,300,5285,True,721116,3.0767159461975098,1,9,14,12,1,8,20,8,0,1,-6,4,Alzheimer's Disease,SCP2,2025-11-28T22:59:43.639635
2247,45,8169,300,6402,True,755900,2.705745220184326,1,18,35,28,1,18,25,28,0,0,10,0,Alzheimer's Disease,FGF2,2025-11-28T22:59:46.346046
203,63,10750,300,2297,True,37937,2.3589799404144287,1,27,80,45,1,26,72,24,0,1,8,21,Alzheimer's Disease,AK1,2025-11-28T22:59:48.705757
8398,23,8974,300,4752,True,210748,2.0497539043426514,1,36,59,60,1,32,59,60,0,4,0,0,Alzheimer's Disease,PLA2G6,2025-11-28T22:59:50.755961
207,578,16232,300,6038,True,751488,3.676815986633301,1,0,0,0,1,33,97,75,0,-33,-97,-75,Alzheimer's Disease,AKT1,2025-11-28T22:59:54.433354
57551,57,10785,300,6184,True,1457048,4.174330949783325,1,18,26,34,1,20,23,33,0,-2,3,1,Alzheimer's Disease,TAOK1,2025-11-28T22:59:58.608335
4311,136,11775,300,4576,True,399215,2.9203453063964844,1,13,34,37,1,26,22,24,0,-13,12,13,Alzheimer's Disease,MME,2025-11-28T23:00:01.530463
4313,57,6969,300,2496,True,21288,1.3971877098083496,1,126,116,23,1,118,111,23,0,8,5,0,Alzheimer's Disease,MMP2,2025-11-28T23:00:02.928167
4314,20,4800,300,5791,True,4082218,7.301310062408447,1,86,21,14,1,85,21,14,0,1,0,0,Alzheimer's Disease,MMP3,2025-11-28T23:00:10.230017
4318,38,4020,300,7319,True,3340938,6.388268709182739,1,42,12,2,1,34,12,2,0,8,0,0,Alzheimer's Disease,MMP9,2025-11-28T23:00:16.619852
2280,110,11664,300,3206,True,87079,2.3600521087646484,1,63,131,63,1,75,123,54,0,-12,8,9,Alzheimer's Disease,FKBP1A,2025-11-28T23:00:18.980481
6376,70,5034,300,2417,True,12016,0.899777889251709,1,346,128,9,1,327,118,9,0,19,10,0,Alzheimer's Disease,CX3CL1,2025-11-28T23:00:19.880798
2288,277,14881,300,6082,True,1043631,3.8313558101654053,1,9,7,14,1,42,79,68,0,-33,-72,-54,Alzheimer's Disease,FKBP4,2025-11-28T23:00:23.712782
2289,416,15041,300,4404,True,315721,3.0106959342956543,1,0,0,0,1,61,46,37,0,-61,-46,-37,Alzheimer's Disease,FKBP5,2025-11-28T23:00:26.724263
240,73,8279,300,3943,True,298489,1.9135301113128662,1,79,79,19,2,63,71,19,-1,16,8,0,Alzheimer's Disease,ALOX5,2025-11-28T23:00:28.640139
6387,30,3947,300,3891,True,340071,1.0616090297698975,1,17,10,0,1,15,10,0,0,2,0,0,Alzheimer's Disease,CXCL12,2025-11-28T23:00:29.703575
246,11,2234,300,4040,True,103430,0.5310049057006836,1,120,90,75,1,111,90,75,0,9,0,0,Alzheimer's Disease,ALOX15,2025-11-28T23:00:30.235270
51451,28,9035,300,5563,True,644311,2.8167779445648193,1,28,103,39,1,25,99,39,0,3,4,0,Alzheimer's Disease,LCMT1,2025-11-28T23:00:33.052661
8445,167,12237,300,3462,True,207417,2.6750710010528564,1,55,90,26,1,83,67,11,0,-28,23,15,Alzheimer's Disease,DYRK2,2025-11-28T23:00:35.728342
10494,101,10985,300,2322,True,37498,2.450784921646118,1,82,75,13,1,98,61,12,0,-16,14,1,Alzheimer's Disease,STK25,2025-11-28T23:00:38.179739
6416,63,11531,300,6152,True,1097716,3.796086072921753,1,31,88,110,1,34,86,97,0,-3,2,13,Alzheimer's Disease,MAP2K4,2025-11-28T23:00:41.976582
273,53,7241,300,6401,True,831687,2.70922589302063,1,24,55,51,1,27,52,50,0,-3,3,1,Alzheimer's Disease,AMPH,2025-11-28T23:00:44.686973
6418,285,15323,300,6492,True,1021640,4.117857933044434,1,3,3,10,1,44,67,148,0,-41,-64,-138,Alzheimer's Disease,SET,2025-11-28T23:00:48.805684
