node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
23040,67,7134,300,6293,True,2088731,4.31389307975769,1,16,55,19,1,17,25,19,0,-1,30,0,Autism Spectrum Disorder,MYT1L,2025-11-28T23:19:37.868379
26115,82,11189,300,6259,True,1251253,3.8727591037750244,1,29,80,85,1,30,76,86,0,-1,4,-1,Autism Spectrum Disorder,TANC2,2025-11-28T23:19:41.741674
6660,161,10178,300,2979,True,64277,2.183830976486206,1,50,121,13,1,83,126,10,0,-33,-5,3,Autism Spectrum Disorder,SOX5,2025-11-28T23:19:43.926069
2057,36,5193,300,4692,True,216483,1.4566240310668945,1,11,30,0,1,10,26,0,0,1,4,0,Autism Spectrum Disorder,EPOR,2025-11-28T23:19:45.383783
9739,164,12181,300,6341,True,1105261,3.6385810375213623,1,17,43,41,1,28,61,48,0,-11,-18,-7,Autism Spectrum Disorder,SETD1A,2025-11-28T23:19:49.022895
197131,259,12665,300,2509,True,43596,2.5954461097717285,1,56,29,36,1,106,71,21,0,-50,-42,15,Autism Spectrum Disorder,UBR1,2025-11-28T23:19:51.618922
10765,101,11874,300,4924,True,268951,2.7198052406311035,1,31,72,115,1,34,63,104,0,-3,9,11,Autism Spectrum Disorder,KDM5B,2025-11-28T23:19:54.339355
10253,147,11937,300,3088,True,99167,2.4403600692749023,1,64,110,2,1,128,75,1,0,-64,35,1,Autism Spectrum Disorder,SPRY2,2025-11-28T23:19:56.780264
56853,13,3087,300,2109,True,33395,0.4004642963409424,1,74,42,2,1,69,42,2,0,5,0,0,Autism Spectrum Disorder,CELF4,2025-11-28T23:19:57.181212
4130,99,12157,300,4568,True,172953,2.5763320922851562,1,34,94,144,1,37,97,123,0,-3,-3,21,Autism Spectrum Disorder,MAP1A,2025-11-28T23:19:59.758023
7716,108,12044,300,4976,True,307473,2.8140978813171387,1,35,93,77,1,53,88,58,0,-18,5,19,Autism Spectrum Disorder,VEZF1,2025-11-28T23:20:02.572711
9777,121,12029,300,4000,True,391029,2.909902811050415,1,42,13,12,1,81,23,13,0,-39,-10,-1,Autism Spectrum Disorder,TM9SF4,2025-11-28T23:20:05.483203
23613,199,13040,300,6636,True,1113457,3.926898241043091,1,12,72,75,1,29,97,92,0,-17,-25,-17,Autism Spectrum Disorder,ZMYND8,2025-11-28T23:20:09.410824
55870,59,10966,300,2205,True,38553,2.2352559566497803,1,44,64,18,1,44,47,15,0,0,17,3,Autism Spectrum Disorder,ASH1L,2025-11-28T23:20:11.646638
6734,310,14895,300,6908,True,2608346,5.839386940002441,1,0,0,0,1,69,56,45,0,-69,-56,-45,Autism Spectrum Disorder,SRPR,2025-11-28T23:20:17.486675
7248,245,13388,300,2954,True,39764,2.6497671604156494,1,67,52,16,1,174,157,22,0,-107,-105,-6,Autism Spectrum Disorder,TSC1,2025-11-28T23:20:20.136969
1106,66,11937,300,6810,True,1307313,3.917687177658081,1,11,31,47,1,15,24,38,0,-4,7,9,Autism Spectrum Disorder,CHD2,2025-11-28T23:20:24.055235
