node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
115201,31,3202,300,3985,True,179699,0.8038508892059326,1,69,93,63,2,56,93,63,-1,13,0,0,Autophagy,ATG4A,2025-11-28T23:28:08.604884
10241,487,14903,300,2754,True,47230,2.6107230186462402,1,0,0,0,1,154,50,11,0,-154,-50,-11,Autophagy,CALCOCO2,2025-11-28T23:28:11.216163
56834,8,2046,300,5738,True,803880,1.2591221332550049,1,9,1,0,1,4,1,0,0,5,0,0,Autophagy,GPR137,2025-11-28T23:28:12.475797
378884,23,4298,300,5414,True,423623,1.4113829135894775,1,38,98,102,1,33,96,102,0,5,2,0,Autophagy,NHLRC1,2025-11-28T23:28:13.887815
51715,52,8248,300,2477,True,34952,1.6291489601135254,1,32,32,20,1,32,32,20,0,0,0,0,Autophagy,RAB23,2025-11-28T23:28:15.517508
345611,23,4842,300,3879,True,94023,1.063431978225708,1,51,142,89,1,49,141,89,0,2,1,0,Autophagy,IRGM,2025-11-28T23:28:16.581539
55823,87,10498,300,3958,True,109189,2.1492371559143066,1,67,195,156,1,86,192,147,0,-19,3,9,Autophagy,VPS11,2025-11-28T23:28:18.731370
9236,95,9008,300,4573,True,590732,2.3887951374053955,1,108,108,41,1,95,99,40,0,13,9,1,Autophagy,CCPG1,2025-11-28T23:28:21.120730
25,219,14198,300,4914,True,232957,2.6025989055633545,1,24,46,42,1,49,87,83,0,-25,-41,-41,Autophagy,ABL1,2025-11-28T23:28:23.724251
83452,51,7265,300,5789,True,565314,2.1984918117523193,1,23,38,5,1,25,39,5,0,-2,-1,0,Autophagy,RAB33B,2025-11-28T23:28:25.923275
94241,20,6437,300,3731,True,185511,1.3358628749847412,1,13,8,0,1,10,8,0,0,3,0,0,Autophagy,TP53INP1,2025-11-28T23:28:27.259752
55332,12,4481,300,1509,True,11435,0.46549177169799805,1,94,13,0,1,90,13,0,0,4,0,0,Autophagy,DRAM1,2025-11-28T23:28:27.725708
