node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
2176,85,10080,300,6672,True,1757189,4.441893100738525,1,27,78,63,1,23,65,60,0,4,13,3,Fanconi Anemia,FANCC,2025-11-28T23:39:05.827918
2177,841,16559,300,8039,True,2843686,6.362957000732422,1,0,0,0,1,10,20,40,0,-10,-20,-40,Fanconi Anemia,FANCD2,2025-11-28T23:39:12.191431
2178,29,5902,300,4831,True,355869,1.6193878650665283,1,11,14,3,1,11,13,3,0,0,1,0,Fanconi Anemia,FANCE,2025-11-28T23:39:13.811423
5888,224,12631,300,4248,True,185188,2.6999621391296387,1,37,53,48,1,91,72,37,0,-54,-19,11,Fanconi Anemia,RAD51,2025-11-28T23:39:16.511968
5889,46,9884,300,1869,True,22583,1.9549269676208496,1,34,20,1,1,35,19,1,0,-1,1,0,Fanconi Anemia,RAD51C,2025-11-28T23:39:18.467497
57599,152,12273,300,5268,True,433911,2.981203317642212,1,18,70,83,1,46,69,43,0,-28,1,40,Fanconi Anemia,WDR48,2025-11-28T23:39:21.449232
9097,476,16123,300,8183,True,3269930,6.93254828453064,1,0,0,0,1,16,44,48,0,-16,-44,-48,Fanconi Anemia,USP14,2025-11-28T23:39:28.382856
2187,24,5701,300,4885,True,355294,1.5555462837219238,1,5,13,5,1,7,9,5,0,-2,4,0,Fanconi Anemia,FANCB,2025-11-28T23:39:29.938986
146956,49,8723,300,2054,True,23034,1.8854241371154785,1,52,68,7,1,53,63,5,0,-1,5,2,Fanconi Anemia,EME1,2025-11-28T23:39:31.824893
2188,22,3271,300,5217,True,472515,1.264078140258789,1,24,30,7,1,23,30,7,0,1,0,0,Fanconi Anemia,FANCF,2025-11-28T23:39:33.089727
2189,103,9438,300,3283,True,20736,2.08583664894104,1,87,236,29,1,106,213,29,0,-19,23,0,Fanconi Anemia,FANCG,2025-11-28T23:39:35.176125
7311,403,14830,300,7123,True,2377262,5.467750072479248,1,0,0,0,1,31,113,146,0,-31,-113,-146,Fanconi Anemia,UBA52,2025-11-28T23:39:40.644624
7314,414,14395,300,2525,True,44919,2.804166078567505,1,0,0,0,1,96,52,14,0,-96,-52,-14,Fanconi Anemia,UBB,2025-11-28T23:39:43.449384
2067,57,8514,300,6885,True,1890263,4.233669996261597,1,23,47,71,1,21,42,68,0,2,5,3,Fanconi Anemia,ERCC1,2025-11-28T23:39:47.683899
7316,1715,18189,300,5326,True,340679,3.318763017654419,1,0,0,0,1,64,242,66,0,-64,-242,-66,Fanconi Anemia,UBC,2025-11-28T23:39:51.003931
5395,87,11268,300,5017,True,210701,2.618704080581665,1,28,73,211,1,28,79,191,0,0,-6,20,Fanconi Anemia,PMS2,2025-11-28T23:39:53.623093
