node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
2049,37,7719,300,3599,True,118938,1.6339857578277588,1,65,46,47,1,66,47,47,0,-1,-1,0,Glioblastoma,EPHB3,2025-11-28T23:42:29.181392
2561,13,5079,300,5656,True,530968,1.7112960815429688,1,58,135,104,1,56,135,104,0,2,0,0,Glioblastoma,GABRB2,2025-11-28T23:42:30.893258
2,186,12724,300,2291,True,22181,2.207991600036621,1,70,133,15,1,121,126,11,0,-51,7,4,Glioblastoma,A2M,2025-11-28T23:42:33.101673
6657,1352,16489,300,3932,True,159062,2.7377889156341553,1,0,0,0,1,89,78,28,0,-89,-78,-28,Glioblastoma,SOX2,2025-11-28T23:42:35.839928
1029,328,14915,300,5400,True,585890,3.059103012084961,1,0,0,0,1,56,110,68,0,-56,-110,-68,Glioblastoma,CDKN2A,2025-11-28T23:42:38.899595
1030,71,10193,300,2522,True,118627,2.0220351219177246,1,33,57,11,1,39,56,11,0,-6,1,0,Glioblastoma,CDKN2B,2025-11-28T23:42:40.922262
1031,90,10478,300,3905,True,127779,2.165009021759033,1,94,152,77,1,94,141,73,0,0,11,4,Glioblastoma,CDKN2C,2025-11-28T23:42:43.088030
6664,6,1821,300,5593,True,532378,0.8685340881347656,1,4,0,0,1,2,0,0,0,2,0,0,Glioblastoma,SOX11,2025-11-28T23:42:43.957134
1019,267,14620,300,5403,True,535675,2.934638023376465,1,35,52,41,1,75,111,83,0,-40,-59,-42,Glioblastoma,CDK4,2025-11-28T23:42:46.892438
7179,129,9381,300,6348,True,1824198,4.130260944366455,1,58,139,53,1,69,121,43,0,-11,18,10,Glioblastoma,TPTE,2025-11-28T23:42:51.023529
4620,45,7269,300,7190,True,1367408,3.1496827602386475,1,32,37,36,1,21,23,33,0,11,14,3,Glioblastoma,MYH2,2025-11-28T23:42:54.173810
91662,9,6339,300,6280,True,1059193,2.287680149078369,1,2,1,1,1,0,1,1,0,2,0,0,Glioblastoma,NLRP12,2025-11-28T23:42:56.462178
2064,686,16208,300,3641,True,104303,2.630490779876709,1,0,0,0,1,101,103,58,0,-101,-103,-58,Glioblastoma,ERBB2,2025-11-28T23:42:59.093704
5649,15,8048,300,1892,True,22173,1.5069427490234375,1,23,49,12,1,19,48,12,0,4,1,0,Glioblastoma,RELN,2025-11-28T23:43:00.601119
4626,46,7395,300,3021,True,47839,1.5621438026428223,1,150,118,30,1,155,111,30,0,-5,7,0,Glioblastoma,MYH8,2025-11-28T23:43:02.163736
5651,2,1474,300,2955,True,38621,0.28802919387817383,1,98,106,25,1,97,106,25,0,1,0,0,Glioblastoma,TMPRSS15,2025-11-28T23:43:02.452264
10257,62,10931,300,5313,True,1118517,3.2380640506744385,1,26,39,27,1,38,31,27,0,-12,8,0,Glioblastoma,ABCC4,2025-11-28T23:43:05.690889
4629,135,12172,300,6253,True,1282110,3.896692991256714,1,23,59,65,1,26,57,54,0,-3,2,11,Glioblastoma,MYH11,2025-11-28T23:43:09.588179
3092,91,12463,300,6945,True,1050772,3.4361660480499268,1,22,70,102,1,34,61,81,0,-12,9,21,Glioblastoma,HIP1,2025-11-28T23:43:13.025877
8216,108,9669,300,3658,True,112227,2.0581812858581543,1,113,105,37,1,115,83,34,0,-2,22,3,Glioblastoma,LZTR1,2025-11-28T23:43:15.084646
83481,191,14054,300,4569,True,256870,2.5443999767303467,1,23,90,87,1,59,111,95,0,-36,-21,-8,Glioblastoma,EPPK1,2025-11-28T23:43:17.629597
9757,122,11756,300,6196,True,488420,2.6435999870300293,1,17,122,179,1,18,123,180,0,-1,-1,-1,Glioblastoma,KMT2B,2025-11-28T23:43:20.273868
8735,48,7815,300,2331,True,14504,1.561398983001709,1,41,146,28,1,46,138,28,0,-5,8,0,Glioblastoma,MYH13,2025-11-28T23:43:21.835781
546,225,13052,300,6550,True,978541,3.3775908946990967,1,19,41,94,1,31,66,114,0,-12,-25,-20,Glioblastoma,ATRX,2025-11-28T23:43:25.214007
5156,362,12823,300,1838,True,55252,2.356693983078003,1,0,0,0,1,177,26,4,0,-177,-26,-4,Glioblastoma,PDGFRA,2025-11-28T23:43:27.571242
3110,29,6078,300,3959,True,148672,1.3685600757598877,1,39,140,13,1,39,136,13,0,0,4,0,Glioblastoma,MNX1,2025-11-28T23:43:28.940361
1063,118,13334,300,5469,True,571087,2.873642921447754,1,34,110,150,1,43,115,140,0,-9,-5,10,Glioblastoma,CENPF,2025-11-28T23:43:31.814541
128553,36,8118,300,4895,True,282573,1.9375360012054443,1,73,128,98,1,69,115,98,0,4,13,0,Glioblastoma,TSHZ2,2025-11-28T23:43:33.752700
91181,4,1992,300,10493,True,4762070,7.352325201034546,1,2,1,12,1,0,1,12,0,2,0,0,Glioblastoma,NUP210L,2025-11-28T23:43:41.105658
6708,83,11002,300,4471,True,185917,2.212460994720459,1,32,64,65,1,32,61,54,0,0,3,11,Glioblastoma,SPTA1,2025-11-28T23:43:43.319010
90167,3,1015,300,2183,True,26810,0.14353299140930176,1,3,5,0,1,1,5,0,0,2,0,0,Glioblastoma,FRMD7,2025-11-28T23:43:43.463047
7226,8,4290,300,5031,True,322227,1.1423108577728271,1,43,137,135,1,41,137,135,0,2,0,0,Glioblastoma,TRPM2,2025-11-28T23:43:44.605906
84033,66,11026,300,5308,True,433297,2.503438711166382,1,29,44,12,1,33,33,8,0,-4,11,4,Glioblastoma,OBSCN,2025-11-28T23:43:47.109926
10818,93,10082,300,6535,True,611290,2.6124069690704346,1,22,292,244,1,21,288,230,0,1,4,14,Glioblastoma,FRS2,2025-11-28T23:43:49.722979
577,14,2303,300,1254,True,4826,0.33918094635009766,1,29,17,1,1,19,17,1,0,10,0,0,Glioblastoma,BAI3,2025-11-28T23:43:50.063304
60482,22,4843,300,4081,True,213071,1.1308612823486328,1,49,33,51,1,37,33,51,0,12,0,0,Glioblastoma,SLC5A7,2025-11-28T23:43:51.194752
442444,1,3417,300,1712,True,9485,0.5432851314544678,1,0,0,0,1,0,0,0,0,0,0,0,Glioblastoma,FAM47C,2025-11-28T23:43:51.738592
1103,8,3730,300,3438,True,110815,0.8446650505065918,1,3,2,1,1,2,2,1,0,1,0,0,Glioblastoma,CHAT,2025-11-28T23:43:52.583819
10320,285,13492,300,4656,True,584334,3.0948848724365234,1,24,18,6,1,130,77,42,0,-106,-59,-36,Glioblastoma,IKZF1,2025-11-28T23:43:55.679277
53335,107,9678,300,6512,True,1241984,3.1847190856933594,1,14,55,83,1,18,46,83,0,-4,9,0,Glioblastoma,BCL11A,2025-11-28T23:43:58.864715
388698,117,12625,300,7945,True,2197718,5.220244884490967,1,17,71,90,1,20,66,82,0,-3,5,8,Glioblastoma,FLG2,2025-11-28T23:44:04.085638
5723,17,8338,300,9549,True,6522469,11.817156076431274,1,8,16,20,1,7,13,20,0,1,3,0,Glioblastoma,PSPH,2025-11-28T23:44:15.903401
5728,637,15702,300,6126,True,915145,3.516085147857666,1,0,0,0,1,30,62,55,0,-30,-62,-55,Glioblastoma,PTEN,2025-11-28T23:44:19.420179
54880,295,13622,300,5696,True,393584,2.7814271450042725,1,1,4,7,1,52,192,144,0,-51,-188,-137,Glioblastoma,BCOR,2025-11-28T23:44:22.202343
340578,13,3433,300,7390,True,3040826,4.578455924987793,1,4,2,0,1,2,1,0,0,2,1,0,Glioblastoma,DCAF12L2,2025-11-28T23:44:26.781481
4193,623,16433,300,6541,True,952555,3.5000882148742676,1,0,0,0,1,42,63,64,0,-42,-63,-64,Glioblastoma,MDM2,2025-11-28T23:44:30.282222
4194,102,11429,300,2717,True,50962,2.1709368228912354,1,48,52,33,1,58,52,20,0,-10,0,13,Glioblastoma,MDM4,2025-11-28T23:44:32.454139
9312,54,6715,300,5510,True,436495,1.6677310466766357,1,42,131,88,1,46,126,87,0,-4,5,1,Glioblastoma,KCNB2,2025-11-28T23:44:34.122443
147040,10,4569,300,4040,True,177755,1.1266670227050781,1,6,2,0,1,6,2,0,0,0,0,0,Glioblastoma,KCTD11,2025-11-28T23:44:35.249715
8295,755,16427,300,5720,True,535050,3.019735097885132,1,0,0,0,1,46,63,63,0,-46,-63,-63,Glioblastoma,TRRAP,2025-11-28T23:44:38.270105
3687,6,918,300,4947,True,722272,0.8916988372802734,1,24,72,47,1,21,72,47,0,3,0,0,Glioblastoma,ITGAX,2025-11-28T23:44:39.162513
2153,20,4403,300,10198,True,7355292,12.524003028869629,1,13,4,2,1,6,4,2,0,7,0,0,Glioblastoma,F5,2025-11-28T23:44:51.687194
3690,54,8703,300,5572,True,515456,2.1998190879821777,1,21,38,23,1,26,32,21,0,-5,6,2,Glioblastoma,ITGB3,2025-11-28T23:44:53.887704
8807,4,2814,300,1519,True,15046,0.2381908893585205,1,7,0,0,1,5,0,0,0,2,0,0,Glioblastoma,IL18RAP,2025-11-28T23:44:54.126404
