node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
440730,4834,19297,300,4049,True,98220,3.168449878692627,1,0,0,0,1,104,171,53,0,-104,-171,-53,Top_Candidates,440730,2025-11-29T00:01:51.272165
54764,4160,18846,300,4310,True,148242,3.369908094406128,1,0,0,0,1,83,119,59,0,-83,-119,-59,Top_Candidates,54764,2025-11-29T00:01:54.643668
5071,3416,18993,300,4904,True,242059,3.1649441719055176,1,0,0,0,1,75,139,76,0,-75,-139,-76,Top_Candidates,5071,2025-11-29T00:01:57.809182
8452,3152,18862,300,5259,True,388313,3.373800277709961,1,0,0,0,1,69,124,93,0,-69,-124,-93,Top_Candidates,8452,2025-11-29T00:02:01.183548
6117,3050,18878,300,5676,True,1039280,4.266056060791016,1,0,0,0,1,22,46,23,0,-22,-46,-23,Top_Candidates,6117,2025-11-29T00:02:05.450232
4609,2982,18719,300,5312,True,309476,3.7746939659118652,1,0,0,0,1,34,105,69,0,-34,-105,-69,Top_Candidates,4609,2025-11-29T00:02:09.226107
57664,2969,18591,300,4976,True,240022,3.658363103866577,1,0,0,0,1,54,101,76,0,-54,-101,-76,Top_Candidates,57664,2025-11-29T00:02:12.885069
25962,2939,18391,300,4584,True,208768,3.2944040298461914,1,0,0,0,1,89,110,33,0,-89,-110,-33,Top_Candidates,25962,2025-11-29T00:02:16.180090
6118,2900,18635,300,6116,True,1854038,5.1732258796691895,1,0,0,0,1,22,36,1,0,-22,-36,-1,Top_Candidates,6118,2025-11-29T00:02:21.354166
6119,2877,18623,300,6141,True,1993404,5.353113651275635,1,0,0,0,1,12,6,2,0,-12,-6,-2,Top_Candidates,6119,2025-11-29T00:02:26.709002
7706,2524,18321,300,4469,True,296989,3.5478901863098145,1,0,0,0,1,85,96,31,0,-85,-96,-31,Top_Candidates,7706,2025-11-29T00:02:30.257600
351,2367,18023,300,1500,True,15857,2.9811511039733887,1,0,0,0,1,126,7,0,0,-126,-7,0,Top_Candidates,351,2025-11-29T00:02:33.239258
2099,2291,18047,300,5461,True,479002,3.520777940750122,1,0,0,0,1,42,96,77,0,-42,-96,-77,Top_Candidates,2099,2025-11-29T00:02:36.760646
2100,2291,18007,300,3771,True,120232,3.0482029914855957,1,0,0,0,1,61,82,22,0,-61,-82,-22,Top_Candidates,2100,2025-11-29T00:02:39.809357
5621,2250,17756,300,3589,True,76756,3.1444013118743896,1,0,0,0,1,141,148,39,0,-141,-148,-39,Top_Candidates,5621,2025-11-29T00:02:42.954380
7157,2190,18456,300,4781,True,296296,3.314049005508423,1,0,0,0,1,78,95,79,0,-78,-95,-79,Top_Candidates,7157,2025-11-29T00:02:46.269168
